[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
local_play|Play local|Paikallinen peli|Jogo Local|Играть локально|單機遊戲|ローカルプレイ|로컬 플레이|Lokal spielen|Partie locale
multiplayer|Play online|Online moninpeli|Jogue online|Играйть онлайн|線上遊戲|オンラインマルチプレイヤー|온라인 멀티플레이어|Online spielen|Partie en ligne
options|Options|Asetukset|Opções|Настройки|選項|オプション|설정|Optionen|Options
version|version|Versio|Versão|Версия|版本|バージョン|버전|Version|Version
ns_controller_continue|Connect a controller to continue.|Yhdistä ohjain jatkaaksesi.|Conecte um controle para continuar.|Подключите контроллер, чтобы продолжить.|請連接手把繼續遊戲。|続けるには コントローラー を接 続してください。|컨트롤러를 연결하여 계속하세요.|Schließe einen Controller an, um weiterzumachen.|Branchez une manette pour continuer.
ns_controller_one_dc|Controller 1 disconnected.|Yhteys ohjaimeen 1 katkesi.|Controle 1 desconectado.|Контроллер 1 отключен.|手把1已斷開連接。|コントローラ 1 が切断されました。|컨트롤러 1의 연결이 끊겼습니다.|Controller 1 wurde getrennt.|La manette 1 est déconnectée.
ns_controller_two_dc|Controller 2 disconnected.|Yhteys ohjaimeen 2 katkesi.|Controle 2 desconectado.|Контроллер 2 отключен.|手把2已斷開連接。|コントローラ 2 が切断されました。|컨트롤러 2의 연결이 끊겼습니다.|Controller 2 wurde getrennt.|La manette 2 est déconnectée.
ns_controller_both_dc|Controller 1 and 2 disconnected.|Ohjainten 1 ja 2 yhteys katkesi.|Controle 1 e 2 desconectados.|Контроллер 1 и 2 отключены.|手把1和2已斷開連接。|コントローラ 1 と 2 が切断されました。|컨트롤러 1과 2의 연결이 끊겼습니다.|Controller 1 und 2 wurden getrennt.|Les manettes 1 et 2 sont déconnectées.
ns_controller_connect|Connect a controller and press Confirm|Yhdistä ohjain ja paina Hyväksy.|Conecte um controle e pressione Confirmar|Подключите контроллер и нажмите «Подтвердить».|請連接手把並按確認鍵|コントローラを押して 「確認」 を接続します|컨트롤러를 연결하고 확인을 누르세요|Schließe einen Controller an und drücke Bestätigen.|Branchez une manette et appuyer sur Confirmer
ns_controller_sp_mode|or continue in singleplayer mode.|tai jatka yksinpelitilassa.|ou continue no modo de um jogador|или продолжить в одиночном режиме.|或者繼續單人模式。|または シングルプレイヤーモード で続けます。|또는 싱글플레이어 모드로 계속하세요.|oder mach im Einzelspieler-Modus weiter.|ou continuer en mode solo.
ns_controller_confirm|Press Confirm to continue.|Paina Hyväksy jatkaaksesi.|Pressione Confirmar para continuar.|Нажмите «Подтвердить», чтобы продолжить.|按確認鍵繼續遊戲。|続行するには押して 「確認」。|계속하려면 확인을 누르세요.|Drücke Bestätigen um weiterzumachen.|Appuyez sur Confirmer pour continuer.
ns_controller_singleplayer|Singleplayer|Yksinpeli|Um jogador|Один игрок|單人模式|シングルプレイヤー|싱글플레이어|Einzelspieler|Jeu solo
ns_controller_multi|Multiple controllers detected.|Useita ohjaimia havaittu.|Múltiplos controles detectados.|Обнаружено несколько контроллеров.|檢測到多個手把。|複数のコントローラーが検出されました。|여러 컨트롤러가 감지되었습니다.|Mehrere Controller erkannt.|Plusieurs manettes ont été détectées.
ns_controller_config1|You can configure controllers|Voit konfiguroida ohjaimet|Você pode configurar controles.|Вы можете настроить контроллеры|您可以配置手把|コントローラを設定できます|컨트롤러를 구성 할 수 있습니다|Sie können die Controller konfigurieren|Vous pouvez configurer les manettes
ns_controller_config2|or continue with current setup.|tai jatkaa nykyisellä asettelulla.|ou continue com a configuração atual.|или продолжите текущую настройку.|或者繼續使用當前設定。|または現在のセットアップを続行します。|또는 현재 설정을 계속하십시오.|oder fahren Sie mit der aktuellen Einrichtung fort.|ou continuer avec la configuration actuelle.
configure|Configure|Konfiguroi|Configurar|Настроить|設定|構成、設定|구성|Konfigurieren|Configurer
ns_store_connecting|Connecting to the Nintendo eShop.|Yhdistetään Nintendo eShop:iin.|Conectando-se à Nintendo eShop.|Подключение к Nintendo eShop.|連接到任天堂eShop。|ニンテンドーeショップ に接続しています。|Nintendo eShop 에 연결|Verbindung zum Nintendo eShop wird hergestellt.|Se connecter au Nintendo eShop.
ns_store_unavailable|The item you tried to access is not available.|Valitsemasi tuote ei ole saatavilla.|O item que você tentou acessar não está disponível.|Объект, к которому вы пытались получить доступ, недоступен.|您嘗試訪問的項目不可用。|アクセス しよう と した アイテム は 利用 できません。|이 아이템은 이용할 수 없습니다.|Der Gegenstand, auf den du zugreifen wolltest, ist nicht verfügbar.|L'élément auquel vous avez essayé d'accéder n'est pas disponible.
ns_store_error|Error loading Nintendo eShop.|Virhe ladattaessa Nintendo eShop:iin.|Erro ao carregar o Nintendo eShop.|Ошибка загрузки Nintendo eShop.|載入任天堂eShop時發生錯誤。|ニンテンドーeショップ の読み込み中にエラーが発生しました。|Nintendo eShop 불러 오기 오류.|Fehler beim Laden vom Nintendo eShop.|Erreur de chargement du Nintendo eShop.
