[Relic Names]|en|fi|pt|ru|zh|ja|ko|de|fr
relic_devilHorn|Devil Horn|Pirunsarvi|Chifre do Demônio|Дьявольский Рог|魔鬼之角|デビル・ホーン|악마의 뿔|Teufelshorn|Corne du diable
relic_demonSheep|Demon Sheep|Paholaislammas|Ovelha Demoníaca|Демоническая Овца|惡魔羊|デーモン・シープ|악마의 양|Dämonenschaf|Mouton démoniaque
relic_doomFlute|Doom Flute|Tuhon huilu|Flauta da Desgraça|Флейта Судьбы|末日長笛|ドゥーム・フルート|파멸의 피리|Verderbensflöte|Flûte du destin
relic_frozenOrb|Frozen Orb|Jääkristalli|Orbe Congelado|Замороженный Шар|霜凍之球|フローズン・オーブ|얼어붙은 구슬|Gefrorene Kugel|Orbe gelée
relic_nunchucks|Nunchucks|Nunchakut|Nunchaku|Нунчаки|雙截棍|ヌンチャク|쌍절곤|Nunchakus|Nunchakus
relic_rubberDuck|Rubber Duck|Kumiankka|Pato de Borracha|Резиновая Утка|橡皮鴨|ゴム製のアヒル|욕조용 오리|Badeente|Canard en caoutchouc
relic_skullAxe|Skull Axe|Pääkallokirves|Machado de Caveira|Топор из Черепа|骷髏斧|スカル・アックス|해골 도끼|Totenkopf-Axt|Hache de bourreau
relic_theSpoon|The Spoon|Lusikka|A Colher|Ложка|勺子|スプーン|구부러진 숟가락|Der Löffel|La cuillère
relic_stormDagger|Storm Dagger|Myrskytikari|Adaga da Tempestade|Кинжал Бури|風暴匕首|ストーム・ダガー|폭풍 단검|Sturmdolch|Poignard de tempête
relic_odinsSword|Odin's Sword|Odinin miekka|Espada de Odin|Меч Одина|奧丁之劍|オーディンのソード|오딘의 검|Odins Schwert|L'épée d'Odin
relic_theAmputationKit|The Amputation Kit|Amputointivälineet|O Kit de Amputação|Набор для Ампутации|截肢工具包|切断キット|절단 수술 키트|Das Amputationskit|Le kit d'amputation
relic_skullBat|Skullbat|Kallolepakko|Morcego-caveira|Тюбетейка|骷髏蝙蝠|スカル・バット|해골 박쥐|Totenkopf-Fledermaus|Crâne de chauve-souris
relic_shredder|Shredder|Silppuri|Triturador|Измельчитель|粉碎器|シュレッダー|분쇄날|Schredder|Déchiqueteuse
relic_stigmata|Stigmata|Stigmata|Estigma|Стигматы|聖痕|スティグマタ|성흔|Stigmata|Stigmates
relic_magicMushroom|Magic Mushroom|Taikasieni|Cogumelo Mágico|Волшебный Гриб|魔法蘑菇|マジック ・ マッシュルーム|마법 버섯|Magischer Pilz|Champignon magique
relic_jefresSubscription|Jefre's Subscription|Jefren tilaus|Inscrição de Jefre|Подписка Джефри|傑弗雷的訂閱|ジェフルの定期購読|제프리의 구독서|Jefre's Abo|Abonnement à Jefre
relic_rockBelt|Rock Belt|Rock-vyö|Cinto do Rock|Каменный Пояс|火箭腰帶|ロックベルト|록 벨트|Felsengürtel|Ceinture rock'n'roll
relic_sausage|Sausage|Makkara|Linguiça|Колбаса|香腸|ソーセージ|소시지|Wurst|Saucisse
relic_spiritSkull|Spirit Skull|Sielupääkallo|Crânio Espiritual|Череп Духа|靈魂頭骨|スピリット・スカル|영혼의 해골|Geisterschädel|Crâne d'esprit
relic_apple|Apple|Omena|Maçã|Apple|蘋果|リンゴ|사과|Apfel|Pomme
relic_fetus|F.E.T.U.S.|S.I.K.I.Ö.|F.E.T.O|F.E.T.U.S.|胎兒|胎児|ㅌ.ㅐ.ㅇ.ㅏ.|F.E.T.U.S.|F.E.T.U.S.
relic_theEye|The Eye|Silmä|O Olho|Глаз|眼球|目|눈알|Das Auge|L'oeil
relic_devilSkull|Devil Skull|Pirukallo|Crânio do Diabo|Череп Дьявола|惡魔頭骨|デビル・スカル|악마의 해골|Teufelsschädel|Crâne de diable
relic_whip|Whip|Ruoska|Chicote|Хлыст|鞭子|ホイップ|채찍|Peitsche|Fouet
