[quest]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
[TUTORIAL]|||||||||||
quest_name_1|Skills and Stats||Habilidades e Atributos| Навыки и статистика|技能和屬性|スキルとステータス|스킬과 능력치||
quest_description_1|Access the Stat & Skills by pressing [c_coin][input_talents][c_reset] and assign a Skill Point and Attribute Points. Afterwards close the menu and from your skill bar on the bottom left press a skill slot to assign a skill.||Atribua um ponto de habilidade, pontos de atributo e vincule uma habilidade ativa.|Получите доступ к характеристикам и навыкам, нажав [c_coin][input_talents][c_reset], и распределите очко навыков и очки характеристик. После этого закройте меню и на панели навыков в левом нижнем углу нажмите на ячейку навыка, чтобы назначить навык.|按下 [c_coin][input_talents][c_reset] 開啟屬性與技能選單，並分配技能點數與屬性點數。隨後關閉選單，點擊左下角技能欄中的技能槽位來設定技能。|スキルポイント、ステータスポイントを割り振り、アクティブスキルを割り当てる。|스킬 포인트와 능력치 포인트를 할당하고, 활성화 스킬을 단축키에 등록하세요|Öffne die Statuswerte und Fertigkeiten, indem du [c_coin][input_talents][c_reset] drückst und einen Fertigkeitspunkt sowie Attributpunkte zuweist. Schließe anschließend das Menü und drücke in deiner Fertigkeitenleiste unten links auf einen Fertigkeitsplatz, um eine Fertigkeit zuzuweisen.|Accédez aux Statistiques et Compétences en appuyant sur [c_coin][input_talents][c_reset] et attribuez un point de compétence et des points d'attribut. Fermez ensuite le menu et, depuis votre barre de compétences en bas à gauche, appuyez sur un emplacement de compétence pour en attribuer une.|Accede a las estadísticas y habilidades pulsando [c_coin][input_talents][c_reset] y asigna un punto de habilidad y puntos de atributo. Después, cierra el menú y, desde la barra de habilidades en la esquina inferior izquierda, pulsa una ranura de habilidad para asignar una habilidad.|Uzyskaj dostęp do Statystyk i Umiejętności naciskając [c_coin][input_talents][c_reset], przypisz Punkt Umiejętności i Punkty Atrybutów. Następnie zamknij menu i z paska umiejętności na dole po lewej naciśnij slot umiejętności, aby ją przypisać.
quest_description_1_2|Access the Stat & Skills by pressing [c_coin][input_talents][c_reset] and assign a Skill Point and Attribute Points. Afterwards close the menu press “[input_incarnation_zoom]” to assign a skill.||||按下 [c_coin][input_talents][c_reset] 鍵即可進入屬性和技能介面，並分配技能點數和屬性點。之後關閉選單，按下“[input_incarnation_zoom]”鍵即可分配技能。|||Öffne die Statuswerte und Fertigkeiten, indem du [c_coin][input_talents][c_reset] drückst und einen Fertigkeitspunkt sowie Attributpunkte zuweist. Schließe anschließend das Menü und drücke „[input_incarnation_zoom]“, um eine Fertigkeit zuzuweisen.|Accédez aux Statistiques et Compétences en appuyant sur [c_coin][input_talents][c_reset] et attribuez un point de compétence et des points d'attribut. Fermez ensuite le menu et appuyez sur « [input_incarnation_zoom] » pour attribuer une compétence.|Accede a las estadísticas y habilidades pulsando [c_coin][input_talents][c_reset] y asigna un punto de habilidad y puntos de atributo. Después, cierra el menú y pulsa [input_incarnation_zoom] para asignar una habilidad.|Uzyskaj dostęp do Statystyk i Umiejętności naciskając [c_coin][input_talents][c_reset], przypisz Punkt Umiejętności i Punkty Atrybutów. Następnie zamknij menu i naciśnij „[input_incarnation_zoom]”, aby przypisać umiejętność.
quest_description_1_3|Access the Stat & Skills by tapping the [c_coin]Stat Screen[c_reset] icon in the UI and assign a Skill Point and Attribute Points. Afterwards close the menu and assign your skill on one of the action buttons on the right side of the screen.|||Получите доступ к экрану характеристик и навыков, нажав на значок [c_coin]Экран характеристик[c_reset] в интерфейсе, и распределите очко навыка и очки характеристик. После этого закройте меню и назначьте свой навык на одну из кнопок действия в правой части экрана.|點擊介面中的[c_coin]屬性畫面[c_reset]圖示開啟屬性與技能頁面，並分配技能點數與屬性點數。隨後關閉選單，將技能配置到螢幕右側的任一快捷鍵上。||UI의 [c_coin]스텟 화면[c_reset] 아이콘을 누르고 능력치 & 스킬 창을 열어 스킬 포인트와 스탯 포인트를 분배하세요. 그 후 메뉴를 닫고 화면 우측에 있는 액션 버튼 중 하나에 스킬을 지정하세요.|||Accede a Estadísticas y Habilidades tocando el ícono [c_coin]Pantalla de Estadísticas[c_reset] en la interfaz y asigna un Punto de Habilidad y Puntos de Atributo. Después, cierra el menú y asigna tu habilidad a uno de los botones de acción del lado derecho de la pantalla.|
quest_objective_1_1|Open Stat & Skill tree||Abrir Atributos & Árvore de Habilidades| Открыть дерево характеристик и навыков|開啟狀態欄和技能樹|ステータス＆スキルツリーを開く|능력치 및 스킬 트리를 여세요||
quest_objective_1_2|Assign an Attribute Point||Atribua um Ponto de Atributo| Назначить атрибутивную точку|分配屬性點|ステータスポイントを割り振る|능력치 포인트를 할당하세요||
quest_objective_1_3|Assign a Skill Point||Atribua um Ponto de Habilidade| Назначить очко навыка|分配技能點數|スキルポイントを割り振る|스킬 포인트를 할당하세요||
quest_objective_1_4|Bind a Skill into a Skill Button||Vincule uma Habilidade a um Botão de Habilidade| Привязать навык к кнопке навыка|將技能綁定到技能按鈕|スキルをスキルボタンに割り当てる|스킬을 스킬 단축키에 등록하세요||
quest_name_2|Keys and Chests||Chaves e Baús| Ключи и сундуки|鑰匙和箱子|鍵と宝箱|열쇠 그리고 상자||
quest_description_2|Pick up the key using, open your Inventory by pressing [c_coin][input_inventory][c_reset] and navigate to your key ring. Then proceed towards north to open the Golden Chest by the well.||"Pegue a chave, abra o Inventário pressionando ""C"" e navegue até o chaveiro. Em seguida, siga em direção ao norte para abrir o Baú Dourado ao lado do poço."|Подберите ключ, откройте инвентарь, нажав [c_coin][input_inventory][c_reset], и перейдите к вашей связке ключей. Затем направляйтесь на север, чтобы открыть Золотой сундук у колодца.|拾取鑰匙，按下 [c_coin][input_inventory][c_reset] 開啟背包並切換至鑰匙圈頁面。接著往北走，開啟井邊的黃金寶箱。|"鍵を拾い、""C""キーを押してインベントリを開き、キーリングに移動します。次に北へ進み、井戸のそばにある黄金の宝箱を開けましょう。"|"열쇠를 주운 후, ""C"" 키를 눌러 인벤토리를 열고 하단의 열쇠 고리 탭으로 이동하세요. 그런 다음 북쪽 우물 옆에 있는 황금 상자를 여세요."|Nimm den Schlüssel, öffne dein Inventar mit [c_coin][input_inventory][c_reset] und navigiere zu deinem Schlüsselbund. Gehe dann nach Norden, um die goldene Truhe am Brunnen zu öffnen.|Ramasse la clé, ouvre ton inventaire en appuyant sur [c_coin][input_inventory][c_reset] et accède à ton trousseau de clés. Ensuite, dirige-toi vers le nord pour ouvrir le coffre doré près du puits.|Recoge la llave, abre tu inventario pulsando [c_coin][input_inventory][c_reset] y ve a tu llavero. Luego, dirígete al norte para abrir el cofre dorado junto al pozo.|Podnieś klucz, otwórz ekwipunek naciskając [c_coin][input_inventory][c_reset] i przejdź do pierścienia kluczy. Następnie udaj się na północ, aby otworzyć Złotą Skrzynię przy studni.
quest_description_2_2|Pick up the key using [c_coin][input_use][c_reset], then open your Inventory [nl]by pressing [c_coin][input_inventory][c_reset] and navigate to your key ring [nl]with [c_coin][input_left_trigger][c_reset] or [c_coin][input_right_trigger][c_reset].[nl]Close the inventory by pressing [c_coin][input_incarnation_remove][c_reset], then proceed towards north to open the Golden Chest by the well.|||Подберите ключ, откройте инвентарь, нажав [c_coin][input_inventory][c_reset], и перейдите к связке ключей, нажав «[c_coin][input_left_trigger][c_reset]» или «[input_right_trigger]». Затем направляйтесь на север, чтобы открыть Золотой сундук у колодца.|使用 [c_coin][input_use][c_reset] 拾取鑰匙，接著按下 [c_coin][input_inventory][c_reset] 開啟背包，[nl]並使用 [c_coin][input_left_trigger][c_reset] 或 [c_coin][input_right_trigger][c_reset] 切換至鑰匙圈頁面。[nl]按下 [c_coin][input_incarnation_remove][c_reset] 關閉背包，然後往北走開啟井邊的黃金寶箱。||열쇠를 획득하고, [c_coin][input_inventory][c_reset] 키를 눌러 인벤토리를 연 뒤 “[c_coin][input_left_trigger][c_reset]” 또는 “[input_right_trigger]” 키를 눌러 열쇠고리 메뉴로 이동하세요. 그다음 북쪽으로 이동하여 우물 옆에 있는 황금 상자를 여세요.|Nimm den Schlüssel, öffne dein Inventar mit [c_coin][input_inventory][c_reset] und navigiere zu deinem Schlüsselbund mit „[c_coin][input_left_trigger][c_reset]“ oder „[input_right_trigger]“. Gehe dann nach Norden, um die goldene Truhe am Brunnen zu öffnen.|Ramasse la clé, ouvre ton inventaire en appuyant sur [c_coin][input_inventory][c_reset] et accède à ton trousseau de clés en appuyant sur « [c_coin][input_left_trigger][c_reset] » ou « [input_right_trigger] ». Ensuite, dirige-toi vers le nord pour ouvrir le coffre doré près du puits.|Recoge la llave, abre tu inventario pulsando [c_coin][input_inventory][c_reset] y ve a tu llavero pulsando “[input_left_trigger]” o “[input_right_trigger]”. Luego, dirígete al norte para abrir el cofre dorado junto al pozo.|Podnieś klucz, otwórz ekwipunek naciskając [c_coin][input_inventory][c_reset] i przejdź do pierścienia kluczy naciskając „[c_coin][input_left_trigger][c_reset]” lub „[input_right_trigger]”. Następnie udaj się na północ, aby otworzyć Złotą Skrzynię przy studni.
