|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
subVikingCharge01|Power Charge||||力量衝鋒||||
subVikingCharge02|Hyperfocus||||超聚焦||||
subVikingCharge03|Bodyslam||||軀體猛撞||||
subVikingCharge04|Resilience||||彈性||||
subVikingCharge05|Overconfidence||||過度自信||||
subVikingCharge06|Spirit Breaker||||精神破壞者||||
subVikingCharge07|Violent Momentum||||暴力氣勢||||
subVikingCharge08|Berserking Ram||||狂暴公羊||||
subVikingCharge09|Crushing Impact||||粉碎性衝擊||||
subVikingCharge10|Frenzied Mind ||||瘋狂心靈||||
subVikingCharge11|Forceful Grab||||強力抓取||||
subVikingCharge12|Crashquake||||崩塌地震||||
subVikingCharge13|Whirling Charge||||旋轉衝鋒||||
subVikingCharge14|Mountain Fall||||山崩||||
subDescVikingCharge01|Increases the damage dealt by charge.||||增加衝鋒造成的傷害。||||
subDescVikingCharge02|Increases the duration of charge.||||增加衝鋒持續時間。||||
subDescVikingCharge03|Increases damage dealt to stunned targets.||||增加對暈眩目標造成的傷害。||||
subDescVikingCharge04|Take reduced damage while charging and shortly after.||||近期有使用衝鋒及衝鋒的過程中受到的傷害減少。||||
subDescVikingCharge05|Increases the area of effect radius of charge.||||增加衝鋒的影響半徑。||||
subDescVikingCharge06|Inflicts arcane break on hit.||||擊中時降低奧術抗性。||||
subDescVikingCharge07|Increases the impact damage dealt by charge for each second spent charging.||||衝鋒時間每多花費一秒就會增加衝鋒造成的衝擊傷害。||||
subDescVikingCharge08|Increases the speed of your charge.||||提高衝鋒速度||||
subDescVikingCharge09|Chance to critically hit with increased critical strike damage.||||有機率暴擊並增加暴擊傷害。||||
subDescVikingCharge10|Stack a buff increasing your arcane skill damage when hitting monsters with charge.||||當用衝鋒攻擊怪物時, 疊加一層buff來增加你的奧術技能傷害。||||
subDescVikingCharge11|Grab monsters on your path dealing damage and stunning them when you crash into terrain.||||抓住衝鋒路徑上的怪物, 當你撞上地形時造成傷害並擊暈它們。||||
subDescVikingCharge12|Unleash powerful shockwaves when crashing into monsters or terrain.||||撞上怪物或地形時釋放強大的衝擊波。||||
