[Blood Pact modifiers]|||||||||||
blood_pact_pack_size|Extra monster pack sizes|Ylimääräiset hirviöpakkauskoot|Tamanhos extras de pacotes de monstros|Дополнительные размеры групп монстров|額外的怪物群大小|追加モンスター群サイズ|추가 몬스터 무리 크기|Zusätzliche Monstergruppengrößen|Tailles de pack de monstres supplémentaires|Tamaños extra de grupos de monstruos|Rozmiar paczek potworów
blood_pact_magic_find|Magic Find|Maaginen löytö|Descoberta Mágica|Найти Magic|掉寶率|魔法の発見|마법 찾기|Magisches Gespür|Trouve magique|Hallazgo Mágico|Szansa na magiczne przedmioty
blood_pact_as_cast_rate|Attack Speed / Cast Rate|Hyökkäysnopeus / heittonopeus|Velocidade de Ataque/Taxa de Conjuração|Скорость атаки/Скорость каста|攻擊速度/施法速度|攻撃速度/キャスト率|공격 속도/시전 속도|Angriffsgeschwindigkeit/Zauberrate|Vitesse d'attaque / Taux d'incantation|Velocidad de Ataque / Tasa de Lanzamiento|Szybkość ataku / Szybkość rzucania
blood_pact_angelic_rate|Angelic/Unholy drop rate|Angelic/Unpyhä pudotusprosentit|Taxas de queda Angelical/Profana|Скорость выпадения Angelic/Unholy|天使/邪惡的掉落率|天使/不浄のドロップ率|천사/타락 드랍률|Dropraten für Engel/Unheilig|Taux d'apparition des Anges/Impies|Probabilidad de caída Angélical/Impía|Szansa na drop Angelic/Unholy
blood_pact_heroic_rate|SS Satanic/Heroic drop rate|SS Satanic/Heroic pudotusnopeudet|Taxas de queda SS Satânica/Heróica|Скорость выпадения SS Satanic/Heroic|SS階惡魔/英雄的掉落率|SS 悪魔/英雄のドロップ率|SS 사탄/영웅 드랍률|Dropraten für SS Satanic/Heroic|Taux d'apparition des SS Sataniques/Héroïques|Probabilidad de caída Satánica SS/Heroica|Szansa na drop SS Satanic/Heroic
blood_pact_experience_gain|Experience gain|Kokemuksen saaminen|Ganho de experiência|Прирост опыта|經驗值增加|経験値獲得|경험치 획득|Erfahrungsgewinn|Gain d'expérience|Ganancia de Experiencia|Zdobywanie doświadczenia
blood_pact_movement_speed|Total Movement Speed|Kokonaisliikenopeus|Velocidade Total de Movimento|Общая скорость передвижения|總移動速度|合計移動速度|총 이동 속도|Gesamtbewegungsgeschwindigkeit|Vitesse de déplacement totale|Velocidad de Movimiento Total|Całkowita prędkość ruchu
blood_pact_total_damage|Total Damage dealt|Kokonaisvahingot|Dano Total causado|Общий нанесенный урон|總傷害|合計ダメージ|총 데미지|Gesamtschaden|Dégâts totaux infligés|Daño Total Infligido|Całkowite zadawane obrażenia
blood_pact_dimension_shards|Dimensional Shards needed|Mittaiset sirpaleet tarvitaan|Fragmentos Dimensionais necessários|Необходимые пространственные осколки|次元碎片的需求量|必要な次元の破片|필요한 차원 파편|Benötigte Dimensionssplitter|Éclats dimensionnels nécessaires|Fragmentos Dimensionales Necesarios|Wymagane Dimensional Shards
blood_pact_battle_fragments|Battle Fragments needed|Taistelufragmentteja tarvitaan|Fragmentos de Batalha necessários|Необходимые фрагменты битвы|戰鬥碎片的需求量|必要な戦闘フラグメント|필요한 전투 조각|Benötigte Kampffragmente|Fragments de combat nécessaires|Fragmentos de Batalla Necesarios|Wymagane Battle Fragments
