|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
talent_name_basicMovement|Movement|Liike|Movimento| Движение|移動|移動|이동|Bewegung|Se déplacer|Déplacement|Ruch
talent_desc_basicMovement|Move around without attacking.|Liiku ympäriinsä hyökkäämättä.|Movimentar-se sem atacar.| Передвигайтесь, не атакуя.|移動但不攻擊。|攻撃せずに動き回ります。|공격하지 않고 이동합니다.|Bewegen Sie sich, ohne anzugreifen.|Se déplacer sans attaquer.|Se déplacer sans attaquer.|Poruszaj się bez atakowania.
talent_name_basicAttack|Attack|Hyökkäys|Atacar| Атака|攻擊|攻撃|공격|Angriff|Attaque|Attaque|Atak
talent_desc_basicAttack|Basic Attack|Perushyökkäys |Ataque Básico| Базовая атака|基本攻擊 |基本攻撃 |기본 공격|Grundangriff|Attaque de base|Attaque de base |Podstawowy atak
|||||||||||
talent_name_weaponMaster|Weapon Master|Asemestari|Mestre das Armas| Мастер оружия|武器大師|武器マスター|웨폰 마스터|Waffenmeister|Maître d'armes|Maîtrise des armes|Mistrz Broni
talent_name_charge|Charge|Lataa|Investida| Заряжать|衝鋒|突撃|차지 |Angriff|Charge|Charge|Szarża
talent_name_devastatingCharge|Devastating Charge|Tuhoisa lataus|Investida Devastadora| Разрушительный рывок|毀滅衝鋒|破壊的な突撃|디바스타팅 차지|Verheerender Angriff|Charge dévastatrice|Charge dévastatrice|Zniszczająca Szarża
talent_name_shieldMaster|Shield Master|Kilven mestari|Mestre do Escudo| Мастер Щита|盾牌大師|シールドマスター|쉴드 마스터|Schildmeister|Maître du bouclier|Maître du bouclier|Mistrz Tarczy
talent_name_stoneskin|Stoneskin|Kivennahka|Pele de Pedra| Каменная кожа|石膚|ストーンスキン|스톤스킨|Steinhaut|Peau de pierre|Peau de pierre|Skórzany Kamień
talent_name_norseResistance|Norse Resistance|Norjan vastarinta|Resistência Nórdica| Норвежское Сопротивление|北歐耐性|北欧の抵抗|노르드 레지스트|Nordischer Widerstand|Résistance nordique|Résistance nordique|Nordycka Odporność
talent_name_defensiveShout|Defensive Shout|Puolustava huuto|Grito Defensivo| Защитный крик|防禦吶喊|防御の叫び|디펜스 샤우트|Verteidigungsschrei|Cri défensif|Cri défensif|Obronna Krzyk
talent_name_odinsFury|Odin's Fury|Odinin raivo|Fúria de Odin| Ярость Одина|奧丁之怒|オーディンの激怒|오딘 퓨리|Odins Wut|Fureur d'Odin|Fureur d'Odin|Furia Odyna
talent_name_battleAgility|Battle Agility|Battle Agility|Agilidade de Batalha| Боевая ловкость|戰鬥敏捷|戦闘の敏捷性|배틀 어질리티|Kampfgewandtheit|Agilité au combat|Agilité au combat|Zwinność Bitewna
talent_name_combatOrders|Combat Orders|Taistelumääräykset|Ordens de Batalha| Боевые приказы|戰鬥命令|戦闘命令|컴뱃 오더|Kampfbefehle|Ordre de combat|Ordres de combat|Rozkazy Bojowe
talent_name_seismicSlam|Seismic Slam|Seisminen slam|Batida Sísmica| Сейсмический удар|地震猛擊|地震のスラム|사이즈믹 슬램|Seismischer Schlag|Frappe sismique|Frappe sismique|Sejsmiczny Uderzenie
talent_name_bruteForce|Brute Force|Raaka voima|Força Bruta| Грубая сила|蠻力|力ずくの力|브루트 포스|Brutale Gewalt|Force brute|Force brute|Brutalna Siła
talent_name_zeal|Zeal|Innokkuus|Zelo| Рвение|狂熱|熱意|질|Eifer|Zèle|Zèle|Zelotyzm
talent_name_monsterThrow|Throw!|Heittää!|Lançar!| Бросать!|投擲！|投げろ！|쓰로우|Werfen!|Lancer !|Lancer !|Rzuć!
talent_name_ymirsChampion|Ymir's Champion|Ymirin mestari|Campeão de Ymir| Чемпион Имира|尤彌爾鬥士|ユミルのチャンピオン|이미르 챔피언|Ymirs Champion|Champion d'Ymir|Champion d'Ymir|Mistrz Ymira
talent_name_whirlwind|Whirlwind|Myrskytuuli|Redemoinho| Вихрь|旋風斬|旋風|휠윈드|Wirbelwind|Tourbillon|Tourbillon|Wir
talent_name_shockwave|Shockwave|Shockwave|Onda de Choque| Ударная волна|衝擊波|衝撃波|쇼크웨이브|Schockwelle|Onde de choc|Onde de choc|Fala Uderzeniowa
talent_name_berserk|Berserk|Berserk|Berserker| Берсерк|狂暴|バーサーク|버서크|Berserker|Berserk|Berserk|Berserk
talent_name_demolishingWinds|Demolishing Winds|Tuhottavat tuulet |Ventos Demolidores| Разрушительные Ветры|毀滅之風 |破壊の風 |디몰리싱 윈드|Zerstörende Winde|Vents destructeurs|Vents destructeurs |Niszczące Wiatry
|||||||||||
