[npc]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
wooden_sign|Wooden Sign||Placa de Madeira| Деревянный Знак|木製告示牌 |木製の看板|나무 표지판|Holzschild|Panneau en bois |Cartel de Madera|Drewniany Znak
|||||||||||
tutorial_0001|You can open the Stat & Skill screen by pressing ”[input_talents]” to assign Attribute and Skill Points. You also have 12 additional skill binds on top of the left and right skill. [tutorial_bind_skill] You can also change these binds from the options! Good luck hero!||"Você pode abrir a tela de Atributos & Habilidades pressionando ""T"" para atribuir pontos de atributo e habilidade. Você também tem 12 habilidades adicionais vinculadas além do clique esquerdo e direito. Para vincular uma habilidade, clique no espaço de habilidade do botão direito, passe o mouse sobre a habilidade que deseja vincular e pressione Q/E/R/Y/H/U para vincular a habilidade ao botão escolhido. Você também pode alterar essas vinculações nas opções! Boa sorte, herói!"| Вы можете открыть экран Статы и умения, нажав ”[input_talents]”, чтобы назначить очки атрибутов и навыков. У вас также есть 12 дополнительных привязок навыков поверх левого и правого щелчка. [tutorial_bind_skill] Вы также можете изменить эти привязки из опций! Удачи, герой!|您可以透過按下”[input_talents]”來指定屬性和技能點,從而開啟「屬性和技能」頁面. 在左鍵和右鍵點擊的上方,你還有12個額外的技能綁定欄. [tutorial_bind_skill] 您也可以從選項中變更這些綁定！祝你好運，英雄！|”[input_talents]”を押すとステータス＆スキル画面が開き、能力値ポイントとスキルポイントを割り振ることができます。また、左クリック・右クリックのほかに12個の追加スキルバインドが使えます。[tutorial_bind_skill]これらのバインドはオプションから変更可能です！ヒーローの活躍を祈ります！|스탯 및 스킬 화면은 ”[input_talents]” 키를 눌러 열 수 있으며, 여기서 능력치와 스킬 포인트를 배분할 수 있습니다. 좌클릭과 우클릭 외에도 총 12개의 추가 스킬 슬롯이 있습니다. [tutorial_bind_skill] 옵션에서 이 키 설정도 자유롭게 변경할 수 있어요! 행운을 빕니다, 영웅이여!|Du kannst den Status- und Fertigkeitsbildschirm öffnen, indem du „[input_talents]“ drückst, um Attribut- und Fertigkeitspunkte zuzuweisen. Zusätzlich zu den Fertigkeiten links und rechts stehen dir 12 weitere Fertigkeitsbelegungen zur Verfügung. [tutorial_bind_skill] Diese Belegungen kannst du in den Optionen ändern! Viel Glück, Held!|Vous pouvez ouvrir l'écran Statistiques et Compétences en appuyant sur « [input_talents] » pour attribuer des points d'attributs et de compétences. Vous disposez également de 12 raccourcis de compétences supplémentaires en plus des raccourcis gauche et droit. [tutorial_bind_skill] Vous pouvez aussi modifier ces raccourcis dans les options ! Bonne chance, héros !|"Puedes abrir la pantalla de Estadísticas y Habilidades presionando ""[input_talents]"" para asignar Puntos de Atributo y de Habilidad. También dispones de 12 atajos de habilidad adicionales, además de los clics izquierdo y derecho. [tutorial_bind_skill] ¡También puedes cambiar estos atajos desde las opciones! ¡Buena suerte, héroe!"|Możesz otworzyć ekran Statystyk i Umiejętności naciskając „[input_talents]”, aby przypisać punkty atrybutów i umiejętności. Masz również 12 dodatkowych skrótów umiejętności oprócz lewej i prawej umiejętności. [tutorial_bind_skill] Możesz również zmienić te skróty w opcjach! Powodzenia, bohaterze!
tutorial_0001_end|You will gain 4 Attribute Points and 1 Skill Point every time you level up to level 100!||Você ganhará 4 pontos de atributo e 1 ponto de habilidade toda vez que subir de nível até o nível 100!| Вы будете получать 4 очка характеристик и 1 очко навыков каждый раз, когда достигнете 100-го уровня!|每次升級您將獲得4個屬性點和1個技能點，直到100級！|レベルが上がると、100レベルまで毎に能力値ポイント4点とスキルポイント1点を獲得します！|레벨 100까지 레벨업할 때마다 능력치 포인트 4점과 스킬 포인트 1점을 얻습니다!|Du erhältst jedes Mal 4 Attributpunkte und 1 Fertigkeitspunkt, wenn du Stufe 100 erreichst!|Vous gagnerez 4 points d'attributs et 1 point de compétence à chaque passage au niveau 100 !|¡Ganarás 4 Puntos de Atributo y 1 Punto de Habilidad cada vez que subas de nivel, hasta el nivel 100!|Przy każdym zdobyciu poziomu do 100 otrzymasz 4 punkty atrybutów i 1 punkt umiejętności!
tutorial_0002|I will drop you a key that you can pick up and check in your key ring inside your inventory. Then you can head north and open the golden chest by the well!||Deixarei cair uma chave que você pode pegar e colocar no chaveiro dentro do inventário. Depois, você pode ir para o norte e abrir o baú dourado perto do poço!| Я дам вам ключ, который вы можете забрать и положить в связку ключей в вашем инвентаре. Затем вы можете отправиться на север и открыть золотой сундук у колодца!|我會給你一把鑰匙, 你可以拿起它, 在你的背包中檢查你的鑰匙圈欄位. 然後你可以往北走, 打開井邊的金箱子！|インベントリ内の鍵束で確認できるキーをドロップします。拾ったら北に向かい、井戸のそばにある黄金の宝箱を開けましょう！|열쇠를 하나 떨어뜨릴게요. 인벤토리 안의 열쇠 고리 탭에서 확인하고, 북쪽으로 가서 우물 옆의 황금 상자를 여세요!|Ich gebe dir einen Schlüssel, den du aufheben und in deinem Inventar an deinem Schlüsselbund überprüfen kannst. Gehe dann nach Norden und öffne die goldene Truhe am Brunnen!|Je vous laisserai une clé que vous pourrez ramasser et ranger dans votre trousseau de clés, dans votre inventaire. Ensuite, dirigez-vous vers le nord et ouvrez le coffre doré près du puits !|¡Dejaré caer una llave que podrás recoger y consultar en tu llavero, dentro del inventario. Luego, dirígete al norte y abre el cofre dorado que está junto al pozo!|Rzucę ci klucz, który możesz podnieść i sprawdzić w swoim pęku kluczy w ekwipunku. Następnie skieruj się na północ i otwórz złotą skrzynię przy studni!
tutorial_0002_end|You will get various keys along your way, each having a unique purpose! Good luck!||Você receberá várias chaves ao longo do caminho, cada uma com uma finalidade exclusiva! Boa sorte!| По пути вы получите различные ключи.|一路上你會得到各種各樣的鑰匙, 每把都有獨特的用途! 祝你好運!|道中でさまざまな鍵を手に入れます。それぞれ用途が違うのでうまく使ってください！幸運を祈ります！|앞으로 다양한 열쇠를 얻게 될 텐데, 각각 특별한 용도가 있으니 잘 활용하세요! 행운을 빕니다!|Unterwegs findest du verschiedene Schlüssel, jeder mit einer einzigartigen Funktion! Viel Glück!|Vous trouverez diverses clés en chemin, chacune ayant une utilité unique ! Bonne chance !|¡Conseguirás varias llaves a lo largo de tu camino, cada una con un propósito único! ¡Buena suerte!|W trakcie swojej drogi zdobędziesz różne klucze, każdy z nich ma unikalne przeznaczenie! Powodzenia!
tutorial_0003|Let’s enable autofilling potions into your belt!||Vamos habilitar o preenchimento automático de poções em seu cinto!| Давайте включим функцию автоматического наполнения пояса зельями!|讓我們啟用自動填充藥劑到您的腰帶！|ベルトへのポーション自動装填機能を有効にしましょう！|벨트에 물약을 자동으로 채워주는 기능을 활성화해봅시다!|Aktivieren wir das automatische Auffüllen von Tränken in deinem Gürtel!|Activons le remplissage automatique des potions dans votre ceinture !|¡Activemos el autorrellenado de pociones en tu cinturón!|Włączmy automatyczne uzupełnianie mikstur w twoim pasie!
tutorial_0003_end|You can now enable or disable this feature as you wish! Good luck!||Agora você pode ativar ou desativar esse recurso como quiser! Boa sorte!| Теперь вы можете включить или отключить эту функцию по своему желанию! Удачи!|現在您可以隨心所欲地啟用或停用此功能! 祝你好運!|この機能はいつでも有効・無効を切り替えられます！幸運を！|이 기능은 원할 때 자유롭게 켜고 끌 수 있어요! 행운을 빕니다!|Du kannst diese Funktion jetzt nach Belieben aktivieren oder deaktivieren! Viel Glück!|Vous pouvez maintenant activer ou désactiver cette fonctionnalité à votre guise ! Bonne chance !|¡Ahora puedes activar o desactivar esta función a tu antojo! ¡Buena suerte!|Teraz możesz włączać lub wyłączać tę funkcję według uznania! Powodzenia!
tutorial_0004|Jump by pressing ”[input_jump]”, your character will land on the location of your cursor.||"Pule pressionando ""Espaço"" e seu personagem aterrissará no local do cursor."| Прыжок по нажатию ”[input_jump]”|按下「空格」跳躍, 你的角色將落在你遊標的位置上|”[input_jump]”を押してジャンプ、カーソルの位置に着地します。|[input_jump] 키를 누르면 점프하며, 커서가 위치한 지점에 착지합니다.|Springe, indem du „[input_jump]“ drückst. Dein Charakter landet an der Position deines Cursors.|Sautez en appuyant sur « [input_jump] », votre personnage atterrira à l'emplacement de votre curseur.|"Salta presionando ""[input_jump]"", tu personaje aterrizará en la ubicación de tu cursor."|Skacz naciskając „[input_jump]”, twoja postać wyląduje w miejscu wskazywanym przez kursor.
