[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
e_rat_1|Rat Champion|Rottamestari|Rato Campeão|Крысиный Чемпион|巨鼠鬥士|ラット・チャンピオン|챔피언 쥐|Ratten-Champion|Rat champion|Rata Campeón|Szczur Champion
e_rat_2|Plague Rat|Tautinen rotta|Rato da Peste|Чумная Крыса|瘟疫巨鼠|プレイグ・ラット|역병 쥐|Pest-Ratte|Rat de la peste|Rata de la Peste|Plaga Szczurów
e_rat_3|Freak of Nature|Luonnonoikku|Aberração da Natureza|Причуда природы|畸變異獸|造化の戯れ|돌연변이 쥐|Natur-Freak|Erreur de la nature|Aberración de la Naturaleza|Wynaturzenie Natury
e_spider_1|Arachnid|Arachnid|Aracnídeo|Паукообразный|蜘蛛|蛛系魔|거미|Spinnentier|Arachnide|Arácnido|Pająk
e_spider_2|Broodmother|Parviemo|Mãe da Ninhada|Праматерь|育母蜘蛛|蛛系魔の母|거미 여왕|Brutmutter|Couveuse|Madre de la Camada|Matka Roju
e_spider_3|Theraphosidae|Theraphosidae|Theraphosidae|Терафозиды|捕鳥蛛|大型の熱帯グモ|타란툴라|Theraphosidae|Theraphosidae|Theraphosidae|Theraphosidae
e_cave_spider_1|Cave Spider|Luolahämähäkki|Aranha da Caverna|Пещерный Паук|洞穴蜘蛛|洞窟クモ|동굴 거미|Höhlenspinne|Araignée des cavernes|Araña de Caverna|Pająk Jaskiniowy
e_cave_spider_2|Venomous Skitter|Myrkyllinen hiipijä|Escorregadio Venenoso|Ядовитый Скитер|劇毒疾行蛛|毒スキッター|베놈 스키터|Giftiger Huscher|Venimeux|Reptante Venenoso|Jadowity Skitter
e_cave_spider_3|Toxic Lurker|Myrkyllinen väijyjä |Espreitador Venenoso|Ядовитый Подстерегающий|猛毒潛伏者|有毒な潜伏者|톡식 럴커|Giftiger Lauerer|Rôdeur toxique|Acechador Tóxico|Toksyczny Czający Się
e_skeleton_1|Bone Champion|Luumestari|Campeão dos Ossos|Костяной Чемпион|骷髏鬥士|ボーン・チャンピオン|챔피언 해골|Knochen-Champion|Os champion|Campeón de Huesos|Kościany Champion
e_skeleton_2|Skeletal Ancestor|Muinainen luuranko|Ancestral Esquelético|Скелетообразный Предок|先祖骷髏|骨格の先祖|조상의 유골|Skelett-Ahne|Ancêtre squelettique|Ancestro Esquelético|Szkieletowy Przodek
e_skeleton_3|Risen God|Noussut jumala|Deus Ressuscitado|Воскресший Бог|復甦邪神|リズンゴッド|되살아난 시체|Auferstandener Gott|Dieu ressuscité|Dios Resucitado|Powstały Bóg
e_skeleton_archer_1|Fallen Marksman|Kaatunut jousiampuja|Atirador Caído|Павший Стрелок|墮落神射手|フォールンマークマン|전사한 사수|Gefallener Scharfschütze|Tireur d'élite déchu|Tirador Caído|Upadły Strzelec
e_skeleton_archer_2|Undead Sharpshooter|Epäkuollut tarkka-ampuja|Atirador de Elite Morto-Vivo|Снайпер - Нежить|亡靈狙擊手|アンデッド・シャープシューター|언데드 명사수|Untoter Scharfschütze|Tireur d'élite mort-vivant|Francotirador No-muerto|Nieumarły Snajper
e_skeleton_archer_3|Rotten Archer|Mätä jousimies|Arqueiro Apodrecido|Никудышный Лучник|腐爛弓箭手|ロッテン・アーチャー|부패한 궁수|Faulender Bogenschütze|Archer pourri|Arquero Podrido|Zgniły Łucznik
e_skeleton_mage_1|Skeletal Archmage|Luuranko arkkimaagi|Arquimago Esquelético|Архимаг - Скелет|骷髏大法師|骨格のアークマージ|해골 대마법사|Skeletaler Erzmagier|Archi-mage squelettique|Archimago Esquelético|Szkieletowy Arcymag
e_skeleton_mage_2|Unholy Priest|Epäpyhä pappi|Sacerdote Profano|Нечестивый Священник|邪惡祭司|不浄な司祭|불결한 사제|Unheiliger Priester|Prêtre impie|Sacerdote Profano|Nieświęty Kapłan
e_skeleton_mage_3|Satanic Pagan|Saatanallinen pakana|Pagão Satânico|Сатанинский Язычник|撒旦異教徒|魔王の異教徒|사탄의 이교도|Satanischer Heide|Païen satanique|Pagano Satánico|Sataniczny Poganin
e_skeleton_mage_fire_1|Burning Mage|Palava Maagi|Mago Ardente|Пылающий Маг|燃燒法師|燃える魔道士|불타는 마법사|Brennender Magier|Mage fumant|Mago Ardiente|Płonąca Magini
e_skeleton_mage_fire_2|Flame Wizard|Liekin Velho|Feiticeiro de Chamas|Волшебник Пламени|烈焰巫師|フレイムウィザード|화염 마법사|Flammenassistent|Mage de flammes|Hechicero de Llamas|Mag Ognia
e_skeleton_mage_fire_3|Infernal Mystic|Helvetin Mystikko|Místico Infernal|Адский Мистик|地獄秘術師|地獄の神秘家|지옥 불 신비 주의자|Höllenmystiker|Mystique infernal|Místico Infernal|Infernalny Mistyk
e_skeleton_mage_frost_1|Frost Mage|Jää Maagi|Mago de Gelo|Ледяной Маг|冰霜法師|フロストメイジ|서리 마법사|Frostmagier|Mage givré|Mago de Escarcha|Mag Mrozu
e_skeleton_mage_frost_2|Chilling Occultist|Jäätynyt Okkultisti|Ocultista Arrepiante|Леденящий Душу Оккультист|寒霜秘術師|身も凍るオカルティスト|오싹한 오컬 티스트|Chillender Okkultist|Occultiste glaçant|Ocultista Gélido|Chłodzący Okultysta
