[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
stat_base_damage|Attack Damage||Dano de Ataque|Урон от атаки|攻擊傷害|攻撃ダメージ|공격 데미지 |Angriffsschaden|Dégât d'attaque|Daño de Ataque|Obrażenia ataku
stat_defense|Defense|Puolustus|Defesa|Защита|防禦|防御力|방어력|Verteidigung|Défense|Defensa|Obrona
stat_defense_p|Increased Defense|Lisäpuolustus|Defesa Aumentada|Повышенная защита|防禦增加|防御力増加|방어력 증가|Erhöhte Verteidigung|Défense accrue|Defensa Aumentada|Zwiększona obrona
stat_block_chance|Block Chance|Torjumistodennäköisyys|Chance de Bloqueio|Шанс блока|格擋機率|ブロックの確率|방어 확률|Blockchance|Chance de bloquer|Probabilidad de Bloqueo|Szansa na blok
stat_all_skills|to All Skills|kaikkiin taitoihin|Para Todos os Habilidades|Ко всем навыкам|所有技能等級|全てのスキルに対して|모든 스킬|auf alle Fertigkeiten|à toutes les compétences|a Todas las Habilidades|do wszystkich umiejętności
stat_increased_speed|Increased Movement Speed|Lisäliikkumisnopeus|Velocidade de Movimento Aumentada|Скорость передвижения повышена|移動速度增加|移動速度増加|이동 속도 증가|Erhöhte Bewegungsgeschwindigkeit|à la vitesse de marche/course |Velocidad de Movimento Aumentada|Zwiększona prędkość ruchu
stat_summon_movement_speed|Increased Summon Movement Speed|Lisääntynyt kutsuliikkeen nopeus|Velocidade de Movimento dos Invocados Aumentada|Скорость передвижения призванных повышена|召喚物移動速度增加|召喚移動速度の向上 |소환수 이동 속도 증가|Erhöhte Beschwörungsbewegungsgeschwindigkeit|Augmentation de la vitesse de déplacement d'invocation |Velocidad de Movimento de Invocaciones Aumentada|Zwiększona prędkość ruchu przywołań
stat_faster_cast_rate|Faster Cast Rate|Nopeampi lähetysnopeus|Taxa de Conjuração Mais Rápida|Скорость чтения заклинаний повышена|施法速度增加|キャスト速度増加|시전 속도 증가|Schnellere Zauberrate|à la vitesse des sorts|Velocidad de Lanzamiento|Szybsza szybkość rzucania
stat_faster_cast_rate_t|Total Faster Cast Rate||Taxa Total de Conjuração Mais Rápida|Общая скорость чтения заклинаний|總施法速度增加|合計ファスターキャストレート|총 시전 속도|Gesamte Zauberrate|Taux de lancer total plus rapide |Velocidad de Lanzamiento Total|Całkowita szybsza szybkość rzucania
stat_attack_speed_p|Increased Attack Speed|Lisääntynyt hyökkäysnopeus|Velocidade de Ataque Aumentada|Скорость атаки повышена|攻擊速度增加|攻撃速度増加|공격 속도 증가|Erhöhte Angriffsgeschwindigkeit|à la vitesse d'attaque|Velocidad de Ataque Aumentada|Zwiększona szybkość ataku
