[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
normal_melee_hand_axe|Hand Axe|Matkakirves|Machado de Mão|Ручной Топор|手斧|手斧|손도끼 (Hand Axe)|Handaxt|Hache|Hacha de Mano|Topór Ręczny
normal_melee_hatchet|Hatchet|Kirves|Machadinha|Топор|短柄斧|手斧|손도끼 (Hatchet)|Beil|Hachette|Hachuela|Siekiera
normal_melee_naga|Naga|Naga|Naga|Нага|娜迦斧|ナーガ|나가 (Naga)|Naga|Naga|Naga|Naga
normal_melee_broad_axe|Broad Axe|Leveä kirves|Machada|Широкий Топор|闊斧|ブロードアックス|넓은도끼 (Broad Axe)|Breitaxt|Hache large|Hacha Ancha|Szeroki Topór
normal_melee_war_axe|War Axe|Sotakirves|Machado de Guerra|Боевой Топор|征戰斧|ウォーアックス|전쟁도끼 (War Axe)|Kriegsaxt|Hache de guerre|Hacha de Guerra|Topór Wojenny
normal_melee_giant_axe|Giant Axe|Jättiläinen kirves |Machado Gigante|Гигантский Топор|巨人斧 |ジャイアントアックス |거대도끼 (Giant Axe)|Riesenaxt|Hache géante|Hacha Gigante|Gigantyczny Topór
|||||||||||
[Normal Maces]|||||||||||
normal_mace_cudgel|Cudgel|Puunuija|Porrete|Дубинка|棍棒|棍棒|곤봉 (Cudgel)|Knüppel|Gourdin|Garrote|Pałka
normal_mace_mace|Mace|Nuija|Maça|Булава|錘|メイス|메이스 (Mace)|Streitkolben|Masse|Maza|Maczuga
normal_mace_morning_star|Morning Star|Aamutähti|Chicote de Armas|Утренняя Звезда|釘頭鎚|モーニングスター|모닝 스타 (Morning Star)|Morgenstern|Étoile du matin|Estrella del Alba|Gwiazda Poranna
normal_mace_spiked_club|Spiked Club|Spiked Club|Clava Espinhosa|Шипастая Дубинка|狼牙棒|スパイククラブ|스파이크 클럽 (Spiked Club)|Stachelkeule|Massue à pointes|Clava de Púas|Kolczasta Pałka
normal_mace_war_hammer|War Hammer|Sota vasara|Martelo de Guerra|Боевой Молот|戰鎚|ウォーハンマー|전쟁 망치 (War Hammer)|Kriegshammer|Marteau de guerre|Martillo de Guerra|Młot Wojenny
normal_mace_maul|Maul|Raadella|Malho|Молот|重鎚|モール|모울 (Maul)|Kolben|Maul|Gran Maza|Młot
normal_mace_ogre_maul|Ogre Maul|Ogre Maul|Malho Ogro|Молот Огра|巨魔重鎚|オーガモール|오우거 모울 (Ogre Maul)|Ogerhammer|Maul d'ogre|Gran Maza de Ogro|Młot Ogra
normal_mace_martel_de_fer|Martel De Fer|Martel De Fer|Martel de Fer|Martel De Fer|長柄戰鎚|マルテル・ド・フェール|마르텔 드 페르 (Martel De Fer)|Martel de Fer|Marteau de fer|Martel de Fer|Martel De Fer
normal_mace_flail|Flail|Huitoa|Mangual|Цеп|連枷|フレイル|플레일 (Flail)|Flegel|Fléau|Mayal|Cep
normal_mace_devil_star|Devil Star|Paholaisen Tähti |Chicote do Diabo|Дьявольская Звезда|惡魔釘頭鎚 |デビルスター |데빌 스타 (Devil Star)|Teufelsstern|Étoile du diable|Estrella del Diablo|Gwiazda Diabła
|||||||||||
[Normal Daggers]|||||||||||
normal_dagger_dagger|Dagger|Mora|Adaga |Кинжал|匕首|ダガー|단검 (Dagger)|Dolch|Poignard|Daga|Sztylet
normal_dagger_dirge|Dirge|Valituslaulu|Dirge|Панихида|輓歌|ダージ|더지 (Dirge)|Klagelied|Dague|Endecha|Dirge
normal_dagger_kris|Kris|Kris |Kris|Крис|波紋劍 |クリス |크리스 (Kris)|Kris|Coutelas Cranté|Kris|Kris
|||||||||||
[Normal Swords]|||||||||||
normal_sword_short_sword|Short Sword|Lyhyt miekka|Espada Curta|Короткий Меч|短劍|ショートソード|단검 (Short Sword)|Kurzschwert|Épée courte|Espada Corta|Krótki Miecz
normal_sword_sabre|Sabre|Sapeli|Sabre|Сабля|軍刀|サーベル|세이버 (Sabre)|Säbel|Sabre|Sable|Szabla
normal_sword_claymore|Claymore|Claymore|Claymore|Клеймор|闊刃大劍|クレイモア|클레이모어 (Claymore)|Claymore|Claymore|Claymore|Claymore
normal_sword_broad_sword|Broad Sword|Leveä miekka|Espada Larga|Широкий Меч|闊劍|ブロードソード|브로드소드 (Broad Sword)|Breitschwert|Épée large|Espada Ancha|Szeroki Miecz
normal_sword_scimitar|Scimitar|Sapeli|Cimitarra|Ятаган|彎刀|シミター|시미터 (Scimitar)|Krummsäbel|Cimeterre|Cimitarra|Sejmitar
normal_sword_giant_sword|Giant Sword|Jättiläinen miekka|Espada Gigante|Гигантский Меч|巨劍|ジャイアントソード|거대검 (Giant Sword)|Riesenschwert|Épée géante|Espadón|Gigantyczny Miecz
normal_sword_katana|Katana|Katana|Katana |Катана|武士刀|カタナ|카타나 (Katana)|Katana|Katana|Katana|Katana
normal_sword_war_sword|War Sword|Sodan miekka|Espada de Guerra|Боевой Меч|征戰劍|ウォーソード|전쟁검 (War Sword)|Kriegsschwert|Épée de guerre|Espada de Guerra|Miecz Wojenny
normal_sword_falchion|Falchion|Falchion|Alfange|Фальшион|彎刃大刀|ファルシオン|팔치온 (Falchion)|Falchion|Falchion|Bracamante|Falchion
normal_sword_flamberge|Flamberge|Flamberge|Colubrina|Фламберге|焰形劍|フランベルジュ|플람베르주 (Flamberge)|Flamberge|Flamberge|Flamberga|Flamberge
normal_sword_zangetsu|Zangetsu|Zangetsu |Zangetsu|Зангецу|斬月 |斬月 |참월 (Zangetsu)|Zangetsu|Zangetsu|Zangetsu|Zangetsu
|||||||||||
[weapon_melee_unique]|||||||||||
w_melee_godfather|Godfather|Kummisetä|Padrinho|Крестный отец|教父|ゴッドファーザー|대부 (Godfather)|Gevatter|Parrain|El Padrino|Godfather
w_melee_jade_warriors_gladius|Jade Warrior's Gladius|Jadesoturin miekka|Gládio do Guerreiro de Jade|Гладиус Нефритового Воина|翡翠戰士短劍|翡翠戦士のグラディウス|옥 전사의 글라디우스 (Jade Warrior's Gladius)|Gladius des Jadekriegers|Glaive du guerrier de jade|Gladius del Guerrero de Jade|Gladius Wojownika Jade
w_melee_storm_katana|Storm Katana|Myrskykatana|Katana na Tempestade|Штормовая Катана|風暴武士刀|嵐のカタナ|폭풍 카타나 (Storm Katana)|Sturmkatana|Katana de tempête|Katana de la Tormenta|Burzowa Katana
w_melee_molten_sword|Molten Sword|Sula miekka|Espada Derretida|Расплавленный Меч|熔岩劍|溶岩の剣|용암검 (Molten Sword)|Geschmolzenes Schwert|Épée en fusion|Espada de Magma|Stopiony Miecz
w_melee_hellslayer|Inferno Slayer|Helvetin Tappaja|Matadora do Inferno|Истребительница Ада|地獄殺手 |インフェルノスレイヤー |지옥의 살해자 (Inferno Slayer)||Tueur de l'enfer|Matador del Infierno|Infernalny Zabójca
w_melee_dragon_knights_flail|Dragon Knight's Flail|Lohikäärmeritarin varsta|Mangual do Cavaleiro Dragão|Цеп Рыцаря-дракона|龍騎士連枷|ドラゴンナイトフレイル|용기사의 플레일 (Dragon Knight's Flail)|Drachenritterflegel|Fléau du chevalier dragon|Mayal del Caballero Dragón|Cep Rycerza Smoka
w_melee_rift_commanders_axe|Rift Commander's Axe|Repemäkomentajan Kirves|Machado do Comandante da Fenda|Топор командира Разлома|裂谷指揮官之斧|裂け目の司令官の斧|균열 사령관의 도끼 (Rift Commander's Axe)|Axt des Risskommandanten|Hache du commandant de la faille|Hacha del Comandante de la Grieta|Topór Dowódcy Riftu
w_melee_the_undying|The Undying|Kuolematon|O Imortal|Бессмертный|不死族|不死の者|불멸자 (The Undying)|Das Unsterbliche|Impérissable|El Inmortal|Nieśmiertelny
w_melee_shattered_dimensions|Shattered Dimensions|Pirstoutunut Ulottuvuus|Dimensões Estilhaçadas|Разрушенные Измерения|破碎空間|崩壊した次元|산산조각 난 차원 (Shattered Dimensions)|Zerbrochene Dimensionen|Dimensions déchirées|Dimensiones Fragmentadas|Rozbite Wymiary
w_melee_ashbringer|Ashbringer|Tuhkantuoja|Portadora das Cinzas|Несущий Пепел|灰燼使者|アッシュブリンガー|파멸의 인도자 (Ashbringer)|Aschebringer|Porte-cendres|Crematoria|Ashbringer
w_melee_deaths_mirror|Death's Mirror|Kuoleman peili|Espelho da Morte|Зеркало смерти|死亡之鏡|死の鏡|죽음의 거울 (Death's Mirror)|Todesspiegel|Miroir de la Mort|Espejo de la Muerte|Lustro Śmierci
w_melee_odins_battle_axe|Odin's Battle Axe|Odinin sotakirves|Machado de Batalha de Odin|Боевой топор Одина|奧丁戰斧|オーディンのバトル・アックス|오딘의 전투 도끼 (Odin's Battle Axe)|Odins Streitaxt|Hache de combat d'Odin|Hacha de Batalla de Odín|Topór Bitewny Odina
w_melee_gurags_stone_crusher|Gurag's Stone Crusher|Guragin kivimurskain|Esmagadora de Pedras de Gurag|Камнедробилка Gurag's|古拉格碎石錘|グーラグのストーン・クラッシャー|구라그의 돌분쇄기 (Gurag's Stone Crusher)|Gurags Steinzermalmer|Broyeur de pierre de Gurag|Trituradora de Piedra de Gurag|Kamienny Miażdżący Guraga
w_melee_deaths_scythe|Death's Scythe|Kuoleman viikate|Foice da Morte|Коса смерти|死神之鐮|死の大鎌|죽음의 낫 (Death's Scythe)|Todessense|Faux de la Mort|Guadaña de la Muerte|Kosa Śmierci
w_melee_hiyokis_vorpal_katana|Hiyoki's Vorpal Katana|Hiyokin sähkökatana|Katana Vorpal de Hiyoki|Катана Ворпала Хийоки|日置的斬首武士刀|ヒヨキの首切りカタナ|히요키의 보팔 카타나 (Hiyoki's Vorpal Katana)|Hiyokis Tödliches Katana|Katana vorpal de Hiyoki|Katana Vorpalina de Hiyoki|Vorpalowa Katana Hiyoki
w_melee_hanzos_flaming_katana|Hanzo's Flaming Katana|Hanzon liekkikatana|Katana Flamejante de Hanzo|Пылающая Катана Ханзо|半藏的火焰武士刀|ハンゾーの炎のカタナ|한조의 불꽃 카타나 (Hanzo's Flaming Katana)|Hanzos Flammendes Katana|Katana enflammé de Hanzo|Katana Llameante de Hanzo|Płonąca Katana Hanzo
w_melee_genjis_sword_of_fate|Genji's Sword of Fate|Genjin kohtalon miekka|Espada do Destino de Genji|Меч судьбы Гэндзи|源氏的命運之劍|ゲンジの運命の剣|겐지의 운명의 검 (Genji's Sword of Fate)|Genjis Schicksalsschwert|Épée du destin de Genji|Espada del Destino de Genji|Miecz Losu Genjiego
w_melee_wind_guardians_gladius|Wind Guardian's Gladius|Tuulenvartijan Gladius|Gládio do Guardião do Vento|Гладиус Хранителя Ветра|風之守護者短劍|風の番人のグラディウス|바람 수호자의 글라디우스 (Wind Guardian's Gladius)|Gladius des Windwächters|Glaive du gardien du vent|Gladius del Guardián del Viento|Gladius Strażnika Wiatru
w_melee_sand_crusaders_scimitar|Sand Crusader's Scimitar|Hiekkaristiretkeilijän Sapeli|Cimitarra do Cruzado da Areia|Ятаган Песчаного крестоносца|沙之十字軍彎刀|サンド・クルセーダーのシミター|사막 십자군의 시미터 (Sand Crusader's Scimitar)|Krummsäbel des Kreuzritters der Sande|Cimeterre du croisé des sables|Cimitarra del Cruzado de Arena|Sejmitar Krucjaty Piasku
w_melee_azurewrath|Azure's Wrath|Taivaan Viha|Fúria Azul|Гнев Лазури|碧藍怒火 |アズールの怒り |아쥬르의 분노 (Azure's Wrath)||Irebleu|Ira Celeste|Gniew Azure
w_melee_holy_warriors_phase_blade|Holy Warrior's Phase Blade|Pyhän Soturin Valomiekka|Lâmina de Fase do Guerreiro Sagrado|Фазный клинок Святого Воина|聖戰士幻化之刃|聖なる戦士の位相の刃|성전사의 페이즈 블레이드 (Holy Warrior's Phase Blade)|Phasenklinge des Heiligen Kriegers|Lame de phase du guerrier saint|Hoja Fásica del Guerrero Sagrado|Fazowa Klinga Świętego Wojownika
