|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
indicatorDesc|Empower the attributes and aspects of this mechanic||Potencialize os atributos e aspectos deste mecânico|Расширьте возможности и возможности этого механизма|增強該機制的屬性和面向|このメカニズムの属性と側面を強化する|이 메커니즘의 능력치와 요소를 강화하세요|Verstärke die Eigenschaften und Aspekte dieser Mechanik.|Renforcez les attributs et les aspects de cette mécanique|Potencia los atributos y aspectos de esta mecánica|Wzmocnij atrybuty i aspekty tej mechaniki
view_incarnation|View Incarnation||Ver Encarnação|Просмотреть воплощение|查看化身天賦樹|インカーネーションを表示|인카네이션 보기|Inkarnation ansehen|Voir Incarnation|Ver Encarnación|Zobacz Wcielenie
view_ether|View Ether||Ver Éter |Просмотреть эфир |查看乙太天賦樹|エーテルを表示 |에테르 보기 |Äther ansehen|Voir Éther |Ver Éter|Zobacz Ether
|||||||||||
[Chaos Tower]|||||||||||
etherCtSmall01_name|Luck of the Draw||Sorte no Sorteio|Удача в розыгрыше|抽籤運氣|運命のいたずら|운에 맡기기|Glückssache|Coup de chance|Suerte del sorteo|Szczęście Losu
etherCtSmall02_name|Safe Haven||Refúgio Seguro|Безопасное убежище|安全港|安全な避難所|안전지대|Sicherer Hafen|Refuge sûr|Refugio seguro|Bezpieczna Przystań
etherCtSmall03_name|Soul Valuation||Avaliação da Alma|Оценка души|靈魂價值|魂の評価|영혼 평가|Seelenbewertung|Évaluation de l'âme|Valoración del alma|Wycena Duszy
etherCtSmall04_name|Chaotic Population Decrease||Redução da População Caótica|Хаотическое сокращение населения|混亂的人口減少|混沌の人口減少|혼돈 인구 감소|Chaotische Bevölkerungsabnahme|Diminution de la population chaotique|Disminución de la población caótica|Zmniejszenie Chaotycznej Populacji
etherCtSmall05_name|Chaotic Population Increase||Aumento da População Caótica|Хаотическое увеличение населения|混亂的人口增加|混沌の人口増加|혼돈 인구 증가|Chaotische Bevölkerungszunahme|Augmentation de la population chaotique|Aumento de la población caótica|Zwiększenie Chaotycznej Populacji
etherCtSmall06_name|The Tower´s Presence||A Presença da Torre|Присутствие башни|高塔降臨|塔の存在|탑의 존재|Die Präsenz des Turms|Présence de la Tour|La presencia de la torre|Obecność Wieży
etherCtSmall07_name|Chaotic Presence||Presença Caótica |Хаотичное Присутствие|混沌氣場|混沌の気配 |혼돈의 존재|Chaotische Präsenz |Présence chaotique |Presencia Caótica|Chaotyczna obecność
etherCtBig01_name|More Ways of Suffering||Mais Formas de Sofrimento|Больше способов страданий|更多苦難方式|さらなる苦しみ|더 많은 고통의 방식|Mehr Leidenswege|Souffrances supplémentaires|Más formas de sufrimiento|Więcej Sposobów Cierpienia
etherCtBig02_name|Whispering of the Colosseum||Sussurros do Coliseu|Шепот Колизея|競技場低語|コロシアムの囁き|콜로세움의 속삭임|Das Flüstern des Kolosseums|Murmures du Colisée|Susurros del Coliseo|Szept Koloseum
etherCtBig03_name|Amplified Magic Find||Aumento da Busca Mágica|Усиленный поиск магии|強化物品稀有度|魔法発見率の増幅|증폭된 마법 발견 확률|Verstärkte Magiefundrate|Découverte magique amplifiée|Hallazgo mágico amplificado|Wzmocniona Szansa na Magiczne Przedmioty
etherCtBig04_name|Divine Blessing||Bênção Divina|Божественное благословение|神聖祝福|神の祝福|신의 축복|Göttlicher Segen|Bénédiction divine|Bendición divina|Boskie Błogosławieństwo
etherCtBig05_name|Ying & Yang||Yin e Yang|Инь и Ян|陰陽|陰陽|음양|Yin & Yang|Yin et Yang|Yin y Yang|Ying & Yang
etherCtBig06_name|Raging Chaos||Caos Desenfreado|Яростный хаос|狂怒混亂|激怒の混沌|격렬한 혼돈|Wütendes Chaos|Chaos déchaîné|Caos furioso|Wściekły Chaos
etherCtBig07_name|Tower Revelation||Revelação da Torre|Откровение башни|高塔啟示錄|塔の啓示|탑의 계시|Turm-Enthüllung|Révélation de la Tour|Revelación de la torre|Objawienie Wieży
etherCtBig08_name|Call of the Tower||O Chamado da Torre|Зов Башни|高塔的號召|塔の呼び声|타워의 부름|Ruf des Turms|L'Appel de la Tour|Llamada de la Torre|Zew Wieży
etherCtBig09_name|Summoner of Chaos||Invocador do Caos |Призыватель Хаоса|混沌召喚者|混沌の召喚者 |카오스의 소환사|Beschwörer des Chaos |Invocateur du Chaos |Invocador del Caos|Przywoływacz Chaosu
etherCtSmall01|Chance to skip the next tower floor||Chance de pular o próximo andar da torre|Шанс пропустить следующий этаж башни|有機會跳過下一層樓層|次の塔の階をスキップするチャンス|다음 탑 층 건너뛰기 찬스|Chance, die nächste Turmetage zu überspringen|Chance de passer l'étage suivant de la tour|Probabilidad de saltar el siguiente piso de la torre|Szansa na pominięcie następnego piętra wieży
etherCtSmall02|Chance per floor for debuffs to be disabled||Chance por andar de debuffs serem desativados|Шанс отключения дебаффов на каждом этаже|機率解除樓層的減益效果|各階でデバフが無効化されるチャンス|층별 디버프 해제 찬스|Chance pro Etage, dass Debuffs deaktiviert werden|Chance par étage de désactiver les malus|Probabilidad por piso de desactivar desventajas|Szansa na piętro, że debuffy zostaną wyłączone
etherCtSmall03|Increased monster Magic Find in Chaos Tower floors||Aumento da Busca Mágica de monstros nos andares da Torre do Caos|Увеличенный поиск магии монстрами на этажах Башни Хаоса|混沌塔中樓層怪物的物品稀有度|混沌の塔の階でのモンスターの魔法発見率の増加|혼돈의 탑 층에서 몬스터 마법 발견 확률 증가|Erhöhte Magiefundrate von Monstern in den Chaosturm-Etagen|Découverte magique des monstres augmentée dans les étages de la Tour du Chaos|Aumento del Hallazgo Mágico de los monstruos en los pisos de la Torre del Caos|Zwiększona Szansa na Magiczne Przedmioty potworów na piętrach Chaos Tower
etherCtSmall04|Decreased amount of monsters per floor||Redução da quantidade de monstros por andar|Уменьшенное количество монстров на этаже|每層怪物數量減少|各階のモンスターの減少|층당 몬스터 수 감소|Verringerte Anzahl von Monstern pro Etage|Nombre de monstres par étage diminué|Disminución de la cantidad de monstruos por piso|Zmniejszona ilość potworów na piętrze
etherCtSmall05|Increased amount of monsters per floor||Aumento da quantidade de monstros por andar|Увеличенное количество монстров на этаже|每層怪物數量增加|各階のモンスターの増加|층당 몬스터 수 증가|Erhöhte Anzahl von Monstern pro Etage|Nombre de monstres par étage augmenté|Aumento de la cantidad de monstruos por piso|Zwiększona ilość potworów na piętrze
etherCtSmall06|Increased chance to find a Chaos Tower||Aumento da chance de encontrar uma Torre do Caos|Увеличенный шанс найти Башню Хаоса|發現混沌塔的機率|混沌の塔を見つけるチャンスの増加|혼돈의 탑 발견 확률 증가|Erhöhte Chance, einen Chaosturm zu finden|Chance accrue de trouver une Tour du Chaos|Mayor probabilidad de encontrar una Torre del Caos|Zwiększona szansa na znalezienie Chaos Tower
etherCtSmall07|Increased Chaos Tower discovery radius.|||Увеличен радиус обнаружения Башни Хаоса.|增加混沌之塔的發現範圍。||카오스 타워 발견 반경이 증가|||Mayor radio de descubrimiento de la Torre del Caos|
etherCtBig01|Gain an additional debuff option||Obter uma opção de debuff adicional|Получите дополнительную опцию дебаффа|個額外的減益選項|追加のデバフオプションを獲得|추가 디버프 옵션 획득|Eine zusätzliche Debuff-Option erhalten|Option de malus supplémentaire|Obtén una opción de desventaja adicional|Otrzymaj dodatkową opcję debuffu
etherCtBig02|Chance per floor to drop a Colosseum Fragment||Chance por andar de dropar um Fragmento do Coliseu|Шанс выпадения фрагмента Колизея на каждом этаже|每層掉落鬥獸場碎片的機率|各階でコロシアムの破片をドロップするチャンス|층별 콜로세움 조각 드롭 확률 증가|Chance pro Etage, ein Kolosseumfragment zu erhalten|Chance par étage d'obtenir un Fragment du Colisée|Probabilidad por piso de soltar un Fragmento del Coliseo|Szansa na piętro na drop Colosseum Fragment
etherCtBig03|Increased total Magic Find applied to the Chaos Tower chest||Aumento da Busca Mágica total aplicada ao baú da Torre do Caos|Увеличенный общий поиск магии, применяемый к сундуку Башни Хаоса|混沌塔寶箱的總物品稀有度|混沌の塔の宝箱に適用される合計魔法発見率の増加|혼돈의 탑 상자에 적용되는 총 마법 발견 확률 증가|Erhöhte Gesamt-Magiefundrate, die auf die Chaosturm-Truhe angewendet wird|Découverte magique totale augmentée pour le coffre de la Tour du Chaos|Aumento del Hallazgo Mágico total aplicado al cofre de la Torre del Caos|Zwiększona całkowita Szansa na Magiczne Przedmioty stosowana do skrzyni Chaos Tower
etherCtBig04|Gain an additional Chaos Tower buff||Obter um buff adicional da Torre do Caos|Получите дополнительный бафф Башни Хаоса|個額外的混沌塔增益效果|追加の混沌の塔バフを獲得|추가 혼돈의 탑 버프 획득|Ein zusätzlicher Chaosturm-Buff erhalten|Bonus supplémentaire pour la Tour du Chaos|Obtén una mejora adicional de la Torre del Caos|Otrzymaj dodatkowy buff Chaos Tower
etherCtBig05|Gain two additional Chaos Tower buffs doubling the effectiveness of all your debuffs||Obter dois buffs adicionais da Torre do Caos, dobrando a eficácia de todos os seus debuffs|Получите два дополнительных баффа Башни Хаоса, удваивающих эффективность всех ваших дебаффов|個額外的混沌塔增益，但使所有減益效果翻倍|すべてのデバフの効果を2倍にする追加の混沌の塔バフを2つ獲得|모든 디버프 효과를 두 배로 증가시키는 추가 혼돈의 탑 버프 2개 획득|Erhalte zwei zusätzliche Chaosturm-Buffs in der ersten Ebene, die Wirksamkeit all Debuffs wird verdoppelt|Deux bonus supplémentaires pour la Tour du Chaos, doublant l'efficacité de tous vos malus|Obtén dos mejoras adicionales de la Torre del Caos que duplican la efectividad de todas tus desventajas|Otrzymaj dwa dodatkowe buffy Chaos Tower, podwaja skuteczność wszystkich twoich debuffów
etherCtBig06|Increased monster movement speed inside Chaos Tower||Aumento da velocidade de movimento dos monstros dentro da Torre do Caos|Увеличенная скорость передвижения монстров внутри Башня Хаоса|混沌塔內怪物的移動速度|混沌の塔内のモンスターの移動速度の増加|혼돈의 탑 내부 몬스터 이동 속도 증가|Erhöhte Bewegungsgeschwindigkeit von Monstern im Chaosturm|Vitesse de déplacement des monstres augmentée dans la Tour du Chaos|Aumento de la velocidad de movimiento de los monstruos dentro de la Torre del Caos|Zwiększona prędkość ruchu potworów wewnątrz Chaos Tower
