|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
quest_bodyPart|Body Part|Runko-osa|Parte de Corpo|Часть тела|身體部位|体の一部|신체 부위|Körperteil|Morceaux de corps
quest_blackHole|Black Hole|Musta aukko|Buraco Negro|Черная дыра|黑洞|ブラックホール|블랙홀|Schwarzes Loch|Trou noir
quest_coffeeBeans|Coffee Beans|Kahvipavut|Grãos de Café|Кофейные зерна|咖啡豆|コーヒー豆|커피 콩|Kaffeebohnen|Grains de café
quest_coffeeBrick|Brick|Tiili|Tijolo|Кирпич|磚塊|レンガ|벽돌|Ziegel|Brique
quest_corruptedStatue|Corrupted Statue|Korruptoitunut patsas|Estátua Corrompida|Поврежденная статуя|腐化的雕像|汚染された像|부패한 동상|Verdorbene Statue|Statue corrompue
quest_cogVines|Cogwheel Vines|Hammaspyörän viiniköynnökset|Vinhas de Engrenagem|Зубчатые лозы|齒輪藤蔓|歯車の蔓|톱니바퀴 덩굴|Zahnradreben|Engrenage entravé
quest_hotWater|Hot Water|Kuuma vesi|Água Quente|Горячая вода|熱水|お湯|뜨거운 물|heißes Wasser|Eau chaude
quest_treasureMark|Marked Spot|Merkitty paikka|Lugar Marcado|Отмеченное место|標記地點|印のついた場所|표시된 장소|Markierter Ort|Emplacement marqué
quest_civilian|Civilian|Siviili|Civil|Гражданский|平民|民間人|민간인|Zivilist|Citoyen
quest_book|Spellbook|Spellbook|Livro de Feitiços|Книга заклинаний|法術書|呪文書|주문서|Zauberbuch|Livre de sorts
quest_essence|Soul Essence|Soul Essence|Essência da Alma|Сущность души|靈魂精華|魂のエッセンス|소울 에센스|Seelenessenz|Essence d'âme
quest_portalEnemy|Unstable Portal|Epävakaa portaali|Portal Instável|Нестабильный портал|不穩定傳送門|不安定なポータル|불안정한 포탈|Instabiles Portal|Portail instable
quest_portalDemonic|Demonic Portal|Demoninen portaali|Portal Demoníaco|Демонический портал|惡魔傳送門|悪魔のポータル|데모닉 포탈|Dämonisches Portal|Portail démoniaque
quest_boat|Boat|Vene|Barco|Лодка|船隻|ボート|배|Boot|Bateau
quest_braggiteOre|Braggite Ore|Braggite malmi|Minério de Braggite|Браггитовая руда|布拉格礦|ブラギット鉱石|프래깃 광석|Braggite-Erz|Minerai de braggite
quest_essenceOfGods|Essence of Gods|Essence of Gods|Essência dos Deuses|Сущность богов|神之精華|神のエッセンス|신들의 에센스|Essenz der Götter|Essence des dieux
quest_bossGemstone|Satanic Gemstone|Saatanallinen jalokivi|Gema Satânica|Сатанинский драгоценный камень|撒旦寶石|悪魔の宝石|사탄의 보석|Satanischer Edelstein|Pierre précieuse satanique
quest_cartWheel|Cartwheel|Kärrynpyörä|Roda de Carrinho|Колесо телеги|車輪|側転|수레바퀴|Wagenrad|Roue de chariot
quest_cartWheelAttach|Cartwheel Attach|Kärryn pyörän kiinnitys|Anexador de Roda de Carrinho|Прикрепить колесо тележки|車輪配件|側転の取り付け具|수레바퀴 부착물|Wagenrad befestigen|Attache de la roue de chariot
quest_nagaScale|Naga Scale|Nagan asteikko|Escama de Naga|Чешуя наги|娜迦鳞片|ナーガの鱗|나가의 비늘|Naga-Skala|Écaille de naga
quest_deliciousHogMeat|Hog Meat|Sian liha|Carne de Porco|Свинина|豬肉|豚肉|돼지고기|Schweinefleisch|Viande de porc
quest_deliciousHogMeatCooked|Cooked Hog Meat|Keitetty sianliha|Carne de Porco Cozida|Приготовленное мясо свиньи|烹飪豬肉|調理済みの豚肉|요리된 돼지고기|Gekochtes Schweinefleisch|Viande de porc cuite
quest_gjollWater|Gjöll River Water|Gjöll-joen vesi |Água do Rio Gjöll|Вода реки Гьёлль|吉爾河水 |ギョル川の水 |욜 강의 물|Wasser des Flusses Gjöll|Eau de la rivière Gjöll
quest_doomWeed|Doom Weed|Tuomion Heinä|Erva da Desgraça|Роковая трава|厄運雜草|破滅の雑草|파멸의 풀|Doom Weed|Herbe du Destin
