[Video]|[en]|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
options_desc_fullscreen|Switch to Fullscreen or Windowed.|Vaihda koko näyttöön tai ikkunaan.|Muda para Tela Cheia ou Em Janela| Переключиться в полноэкранный или оконный режим.|切換到全螢幕或視窗。|全画面表示またはウィンドウ表示に切り替えます。|전체 화면 또는 창 모드로 전환.|Wechseln Sie zu Vollbild oder Fenster.|Passer de plein écran à fenêtré (ou l'inverse).
options_desc_window_size|Size of the game window on Windowed.|Peli-ikkunan koko Windowed-tilassa.|Tamanho da Janela do Jogo no modo Em Janela| Размер окна игры в оконном режиме.|視窗化上遊戲視窗的大小。|Windowed でのゲーム ウィンドウのサイズ。|창 모드에서 게임 창 크기.|Größe des Spielfensters im Fenstermodus.|Taille de la fenêtre de jeu en mode fenêtré.
options_desc_aspect_ratio|Aspect Ratio of the game.|Pelin kuvasuhde.|Proporção da Imagem do Jogo| Соотношение сторон игры.|遊戲的寬高比。|ゲームのアスペクト比。|게임의 화면 비율.|Seitenverhältnis des Spiels.|Rapport hauteur/largeur du jeu.
options_desc_vsync|Vertical sync synchronizes the refresh rate and frame rate of a monitor fixing screen tearing.|Pystysynkronointi synkronoi näytön virkistystaajuuden ja kuvataajuuden korjaamalla näytön repeytymistä.|A sincronização vertical sincroniza a taxa de atualização e a taxa de quadros de um monitor, corrigindo o screen tearing.| Вертикальная синхронизация синхронизирует частоту обновления и частоту кадров монитора, устраняя разрывы изображения на экране.|垂直同步同步顯示器的更新頻率和幀率， 解決螢幕撕裂問題。|垂直同期は、モニターのリフレッシュ レートとフレーム レートを同期し、画面のティアリングを修正します。|수직 동기화는 모니터의 새로 고침률과 프레임 속도를 동기화하여 화면 찢어짐을 수정합니다.|Die vertikale Synchronisierung synchronisiert die Bildwiederholfrequenz und die Bildfrequenz eines Monitors und behebt so das Screen Tearing.|La synchronisation verticale synchronise la fréquence de rafraîchissement et la fréquence d'images d'un moniteur, ce qui évite le déchirement de l'écran.
options_desc_framerate|Framerate determines how many frames per second your monitor draws improving the smoothness of the game. Additionally also due to game engine limitations this also determines how many times code is ran in the games step loop, this might cause slowdowns on lower end devices/hardware.|Framerate määrittää, kuinka monta kuvaa sekunnissa näyttösi piirtää, mikä parantaa pelin sujuvuutta. Lisäksi pelimoottorin rajoituksista johtuen tämä määrittää myös kuinka monta kertaa koodia ajetaan pelien askelsilmukassa, mikä saattaa aiheuttaa hidastuksia alemmissa laitteissa/laitteistoissa.|A taxa de quadros determina quantos quadros por segundo seu monitor desenha, melhorando a suavidade do jogo. Além disso, devido às limitações da engine de jogo, isso também determina quantas vezes o código é executado no loop de etapas do jogo, o que pode causar lentidão em dispositivos/hardware de baixo custo.| Частота кадров определяет, сколько кадров в секунду отрисовывает ваш монитор, улучшая плавность игры. Кроме того, из-за ограничений игрового движка это также определяет, сколько раз код запускается в игровом цикле|幀率決定顯示器每秒繪製多少幀，提高遊戲的流暢度。  此外，也由於遊戲引擎的限制，這還決定了遊戲中的代碼運行次數，這可能會導致低端設備/硬體的性能下降。|フレームレートは、モニターが 1 秒あたりに描画するフレーム数を決定し、ゲームのスムーズさを向上させます。さらに、ゲーム エンジンの制限により、ゲームのステップ ループでコードが実行される回数も決まり、これによりローエンドのデバイス/ハードウェアで速度低下が発生する可能性があります。|프레임 속도는 모니터가 초당 그리는 프레임 수를 결정하며, 게임의 부드러움을 개선합니다. 또한, 게임 엔진의 제한으로 인해 이는 게임의 단계 루프에서 코드가 실행되는 횟수도 결정합니다. 이는 낮은 성능의 장치/하드웨어에서 느려짐을 유발할 수 있습니다.|Die Framerate bestimmt, wie viele Bilder pro Sekunde Ihr Monitor darstellt, und verbessert so die Laufruhe des Spiels. Darüber hinaus wird aufgrund von Einschränkungen der Spiel-Engine auch bestimmt, wie oft Code in der Schrittschleife des Spiels ausgeführt wird. Dies kann auf Geräten/Hardware der unteren Preisklasse zu Verlangsamungen führen.|Le taux de rafraîchissement détermine le nombre d'images par seconde que votre moniteur affiche, ce qui améliore la fluidité du jeu. En outre, en raison des limitations du moteur de jeu, ce paramètre détermine également le nombre de fois que le code est exécuté dans la boucle d'étape du jeu, ce qui peut entraîner des ralentissements sur les appareils/matériels de bas de gamme.
options_desc_field_of_view|Field of View ingame. This determines how close or far the camera is zoomed to your player.|Pelin näkökenttä. Tämä määrittää, kuinka lähelle tai kauas kamera on zoomattu soittimeen.|Campo de Visão no jogo. Isso determina o quão perto ou longe a câmera está do jogador.| Поле зрения в игре. Это определяет, насколько близко или далеко камера приближается к игроку.|遊戲中的視野範圍。這決定了相機與玩家的距離|ゲーム内の視野。これにより、カメラがプレイヤーにどれだけ近づくか、または遠ざかるかが決まります。|게임 내 시야 범위. 이 설정은 카메라가 플레이어와 얼마나 가까이 또는 멀리 위치할지를 결정합니다.|Sichtfeld im Spiel. Dadurch wird bestimmt, wie nah oder weit die Kamera an Ihren Player herangezoomt wird.|Champ de vision dans le jeu. Il détermine la distance à laquelle la caméra est zoomée sur votre joueur.
options_desc_outline|Enable/disable outline drawing.|Ota ääriviivapiirros käyttöön/poista käytöstä.|Ativa/Desativa o desenho de contorno.| Включить/выключить рисование контуров.|開啟/關閉輪廓繪製。|アウトライン描画を有効/無効にします。|윤곽선 그리기 활성화/비활성화.|Umrisszeichnung aktivieren/deaktivieren.|Activer/désactiver le tracé des contours.
options_desc_show_experience|Enable/disable experience numbers shown in main HUD.|Ota käyttöön/poista käytöstä päähudissa näkyvät kokemusnumerot.|Ativa/Desativa os números de experiência mostrada no HUD principal.| Включить/отключить отображение чисел опыта в основном HUD.|開啟/關閉主要HUD中顯示的經驗數字。|メイン HUD に表示される経験値の数値を有効/無効にします。|주요 HUD에서 경험치 수치를 활성화/비활성화합니다.|Aktivieren/Deaktivieren der im Haupt-HUD angezeigten Erfahrungszahlen.|Activer/désactiver les points d'expérience affichés dans le HUD principal.
options_desc_show_fps|Enable/disable Frames Per Second shown in main HUD.|Ota käyttöön tai poista käytöstä Frames per Second, joka näkyy HUD:ssa.|Ativa/Desativa a taxa de quadro por segundo no HUD principal.| Включить/выключить отображение количества кадров в секунду на основном HUD.|開啟/關閉主要HUD中顯示的幀率。|メイン HUD に表示されるフレーム/秒を有効/無効にします。|주요 HUD에서 초당 프레임 수를 활성화/비활성화합니다.|Aktivieren/Deaktivieren der im Haupt-HUD angezeigten Bilder pro Sekunde.|Activer/désactiver l'affichage du compteur d'images par seconde dans le HUD principal.
options_desc_color_blind_mode|Enable/disable colorblindness correction filter.|Ota värisokeuden korjaussuodatin käyttöön tai poista se käytöstä.|Ativa/desativa o filtro de correção de daltonismo.| Включить/отключить фильтр коррекции дальтонизма.|啟用/停用色盲校正過濾器。|色覚異常補正フィルターを有効/無効にします。|색맹 교정 필터를 활성화/비활성화합니다.|Aktivieren/Deaktivieren des Filters zur Korrektur der Farbenblindheit.|Activer/désactiver le filtre de correction du daltonisme.
