[zone]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
Act_01_Pregame|River of Inoya|Inoyan Joki|Rio de Inoya| Река Иноя|伊諾亞之河|イノヤ川|이노야의 강|Fluss von Inoya|Rivière d'Inoya
Act_01_01|Outskirts of Inoya|Inoyan laidalla|Arredores de Inoya| Окраина Иноя|伊諾亞郊區≤1-1≥|イノヤの郊外|이노야 변두리|Außenbezirke von Inoya|Abords d'Inoya
Act_01_02|Fields of Battle|Taistelutanner|Campos de Batalha| Поля битвы|戰場之地≤1-2≥|バトルのフィールド|전장|Schlachtfelder|Champs de bataille
Act_01_03|The Pumpkin Patch|Kurpitsapelto|O Canteiro de Abóboras| Тыквенная грядка|南瓜田≤1-3≥|パンプキン・パッチ（かぼちゃ畑）|호박밭|Der Kürbis Aufnäher|Champs de citrouilles
Act_01_04|Woodhill Plains|Puukukkula Tasangot|Planícies de Woodhill| Вудхилл Плейнс|黑暗森林≤1-4≥|ウッドヒル平原|우드힐 평원|Woodhill Eben|Plaines des collines boisées
Act_01_04_02|Village of Lamia|Lamian Kylä|Vilarejo de Lamia| Деревня Ламия|拉米亞村≤1-4-2≥|ラミア村 |라미아 마을|Dorf Lamia |Village de Lamia 
Act_01_05|King's Garden|Kuninkaan puutarha|Jardim do Rei| Королевский сад|國王的花園≤1-5≥|キングのガーデン|왕실 정원|Königsgarten|Jardin du roi
Act_01_02_02|Witching River|Noiduttu Joki|Rio das Bruxas| Ведьмина река|巫河≤1-2-2≥|ウィッチング・リバー |마녀의 강|Hexenfluss |Rivière sorcière 
Act_01_06|Witching River|Noiduttu Joki|Rio das Bruxas| Ведьмина река|巫河 |ウィッチング・リバー |마녀의 강|Hexenfluss |Rivière sorcière |Río Embrujado|Rzeka Czarownic
Act_02_01|Crystal Village|Kristallikylä|Vila de Cristal| Кристаллическая деревня|水晶村莊≤2-1≥|クリスタル・ビレッジ|크리스탈 마을|Kristalldorf|Village de cristal
Act_02_01_02|Caravan Valley |Karavaani sola|Vale das Caravanas |Караванный переулок|商隊小巷≤2-1-2≥|キャラバン・バレー |캐러밴 골목|Caravan Valley |Vallée des caravanes |Callejón de la Caravana|Dolina Karawan 
Act_02_02|Chilling Lake|Hyytävä järvi|Lago Gelado| Холодное озеро|寒冷之湖≤2-2≥|チリング・レーク（寒冷の湖）|얼어붙은 호수|Kühlender See|Lac gelé
Act_02_02_02|Howling Stream ||Riacho Uivante |Воющий поток|呼嘯溪流≤2-2-2≥|咆哮する川 |울부짓는 수로|Heulender Bach |Ruisseau hurlant |Arroyo Aullante|Wyjący Potok 
Act_02_03|Arctic Tundra|Arktinen tundra|Tundra do Ártico| Арктическая тундра|北極苔原≤2-3≥|北極ツンドラ|북극 툰드라|Arktische Tundra|Toundra arctique
Act_02_04|Snowy Mountains|Lumivuoret|Montanhas Nevadas| Снежные горы|雪山≤2-4≥|雪山|설산|Verschneite Berge|Montagnes enneigées
Act_02_04_02|Valley of Spirits ||Vale dos Espíritos |Долина Духов|靈魂山谷≤2-4-2≥|精霊の谷 |영혼의 계곡|Tal der Geister |Vallée des esprits |Valle de los Espíritus|Dolina Duchów 
Act_02_05|The Glacial Trail|Jäätikön Polku|Trilha Glacial| Ледниковая тропа|冰川足跡≤2-5≥|氷河トレイル|빙하 흔적|Gletscherweg|La piste glaciaire
Act_03_01|Corrupted Oasis|Korruptoitunut Keidas|Oásis Corrompido | Оскверненный Оазис|腐化綠洲≤3-1≥|腐敗したオアシス |부패한 오아시스|Verdorbene Oase |Oasis corrompue 
