|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
shop_desc_save_slot|Gain 24 additional character slots in the character selection. These slots are added as an extra page that you can navigate to.||Ganhe 24 espaços adicionais para personagens na seleção de personagens. Esses espaços são adicionados como uma página extra que você pode acessar.|Получите 24 дополнительных слота для персонажей в меню выбора персонажей. Эти слоты добавляются в виде дополнительной страницы, на которую вы можете перейти.|角色選擇介面新增 24 個角色欄位。這些欄位會以額外頁面的形式添加，您可以導航至該頁面。。|キャラクター選択画面に24個のキャラクター枠が追加されます。これらの枠は、アクセス可能な追加ページとして表示されます。|캐릭터 선택 화면에 캐릭터 슬롯이 24개 추가됩니다. 이 슬롯은 별도의 페이지로 제공되어 편리하게 이동할 수 있습니다.|Erhalte 24 zusätzliche Charakterplätze in der Charakterauswahl. Diese Plätze werden als zusätzliche Seite hinzugefügt, auf die du zugreifen kannst.|Gagnez 24 emplacements de personnage supplémentaires dans la sélection des personnages. Ces emplacements sont ajoutés sur une page supplémentaire.|Obtén 24 espacios adicionales para personajes en la selección de personajes. Estos espacios se añaden como una página extra a la que puedes acceder.|Zyskaj 24 dodatkowe sloty na postacie w wyborze postaci. Sloty te są dodawane jako dodatkowa strona, do której możesz przejść.
shop_desc_stash_tab|Gain an additional Stash tab where you can store any items.||Ganhe uma aba adicional de Baú onde você pode armazenar qualquer item.|Получите дополнительную вкладку «Сундук», где вы можете хранить любые предметы.|新增一個倉庫標籤頁，可用於存放任何物品。|アイテムを保管できる追加の保管庫タブが追加されます。|아이템을 보관할 수 있는 보관함 탭이 추가됩니다.|Erhalte einen zusätzlichen Lager-Reiter, in dem du beliebige Gegenstände lagern kannst.|Gagnez un onglet « Stock » supplémentaire pour y stocker vos objets.|Obtén una pestaña de Alijo adicional donde puedes guardar cualquier objeto.|Zyskaj dodatkową zakładkę Skrytki, w której możesz przechowywać dowolne przedmioty.
shop_desc_inventory_tab|Gain an additional Inventory tab where you can store any items.||Ganhe uma aba adicional de Inventário onde você pode armazenar qualquer item.|Получите дополнительную вкладку «Инвентарь», где вы можете хранить любые предметы.|新增一個物品欄標籤頁，可用於存放任何物品。|アイテムを保管できる追加のインベントリタブが追加されます。|아이템을 보관할 수 있는 인벤토리 탭이 추가됩니다.|Erhalte einen zusätzlichen Inventar-Reiter, in dem du beliebige Gegenstände lagern kannst.|Gagnez un onglet « Inventaire » supplémentaire pour y stocker vos objets.|Obtén una pestaña de Inventario adicional donde puedes guardar cualquier objeto.|Zyskaj dodatkową zakładkę Ekwipunku, w której możesz przechowywać dowolne przedmioty.
shop_desc_vault_tab|Gain an additional Inventory tab where you can store Essence Vaults.||Ganhe uma aba adicional de Inventário onde você pode armazenar Cofres de Essência.|Получите дополнительную вкладку «Инвентарь», где вы можете хранить хранилища эссенций.|新增一個物品欄標籤頁，可用於存放精華寶庫。|エッセンスヴォールトを保管できる追加のインベントリタブが追加されます。|정수 보관함을 보관할 수 있는 인벤토리 탭이 추가됩니다.|Erhalte einen zusätzlichen Inventar-Reiter, in dem du Essenzgewölbe lagern kannst.|Gagnez un onglet « Inventaire » supplémentaire pour y stocker vos Coffres d'essence.|Obtén una pestaña de Inventario adicional donde puedes guardar Bóvedas de Esencia.|Zyskaj dodatkową zakładkę Ekwipunku, w której możesz przechowywać Skarbce Esencji.
shop_desc_market_slots|Gain 15 additional slots for selling items on Tarethiel Market located in Act III Town.||Ganhe 15 espaços adicionais para vender itens no Mercado de Tarethiel, localizado na Cidade do Ato III.|Получите 15 дополнительных слотов для продажи предметов на рынке Таретиэль, расположенном в городе III Акта.|在第三幕城鎮的塔雷希爾市場新增 15 個物品出售欄位。|Act IIIの町にあるタレティエルマーケットでアイテムを販売するための追加スロットが15個追加されます。|3막 마을에 있는 타레티엘 시장에서 아이템을 판매할 수 있는 슬롯이 15개 추가됩니다.|Erhalte 15 zusätzliche Plätze für den Verkauf von Gegenständen auf dem Tarethiel-Markt in Akt III.|Gagnez 15 emplacements supplémentaires pour vendre vos objets au Marché de Tarethiel, situé dans la ville de l'Acte III.|Obtén 15 espacios adicionales para vender objetos en el Mercado de Tarethiel, ubicado en la Ciudad del Acto III.|Zyskaj 15 dodatkowych slotów za sprzedaż przedmiotów na Targu Tarethiel w Mieście Aktu III.
shop_desc_unique_tab|Gain an unique stash tab where you can store one of each unique items in the game, the tab has designated slots for each item and a x / x counter that shows your progress of collecting all the items in the game!||Ganhe uma aba de Baú exclusiva onde você pode armazenar um de cada item exclusivo do jogo. A aba possui espaços designados para cada item e um contador x/x que mostra seu progresso na coleta de todos os itens do jogo!|Получите уникальную вкладку сундука, где вы можете хранить по одному экземпляру каждого уникального предмета в игре. Вкладка имеет выделенные слоты для каждого предмета и счетчик x/x, показывающий ваш прогресс в сборе всех предметов в игре!|新增一個獨特的倉庫標籤頁，可用於存放遊戲中每種獨特物品各一件。此標籤頁設有專屬的物品欄位，並配有 x/x 計數器，顯示您收集遊戲中所有物品的進度！|ゲーム内の各ユニークアイテムを1つずつ保管できる専用保管庫タブが追加されます。このタブには各アイテム専用のスロットと、ゲーム内の全アイテム収集状況を示すカウンター（x / x）が表示されます。|게임 내 모든 고유 아이템을 보관할 수 있는 고유 보관함 탭이 추가됩니다. 각 아이템별로 지정된 슬롯이 있으며, 모든 아이템 수집 진행 상황을 보여주는 x/x 카운터가 표시됩니다!|Erhalte einen einzigartigen Lager-Reiter, in dem du je ein Exemplar jedes einzigartigen Gegenstands im Spiel lagern kannst. Der Reiter verfügt über separate Plätze für jeden Gegenstand und einen Zähler (x/x), der deinen Fortschritt beim Sammeln aller Gegenstände im Spiel anzeigt!|Gagnez un onglet « Stock » unique pour y stocker un exemplaire de chaque objet unique du jeu. Cet onglet dispose d'emplacements dédiés pour chaque objet et d'un compteur indiquant votre progression dans la collection de tous les objets du jeu !|Obtén una pestaña de Alijo única donde puedes guardar un ejemplar de cada objeto único del juego. La pestaña tiene espacios designados para cada objeto y un contador que muestra tu progreso en la colección de todos los objetos del juego.|Zyskaj unikalną zakładkę Skrytki, w której możesz przechowywać po jednym z każdego unikalnego przedmiotu w grze. Zakładka ma wyznaczone sloty dla każdego przedmiotu oraz licznik x/x, który pokazuje postęp w zbieraniu wszystkich przedmiotów w grze!
shop_desc_guild_stash_tab|Gain an additional guild stash tab where you and your guild members can store any items.||Ganhe uma aba adicional de Baú da Guilda onde você e seus membros da guilda podem armazenar qualquer item.|Получите дополнительную вкладку сундука гильдии, где вы и члены вашей гильдии можете хранить любые предметы.|新增一個公會倉庫標籤頁，您和您的公會成員可以在此存放任何物品。|ギルドメンバーとあなたがアイテムを保管できる専用ギルド保管庫タブが追加されます。|길드원들과 함께 아이템을 보관할 수 있는 길드 보관함 탭이 추가됩니다.|Erhalte einen zusätzlichen Gildenlager-Reiter, in dem du und deine Gildenmitglieder beliebige Gegenstände lagern können.|Gagnez un onglet « Stock » de guilde supplémentaire pour vous et les membres de votre guilde.|Obtén una pestaña de Alijo de Gremio adicional donde tú y los miembros de tu gremio pueden guardar cualquier objeto.|Zyskaj dodatkową zakładkę Skrytki gildii, w której Ty i członkowie Twojej gildii możecie przechowywać dowolne przedmioty.
shop_desc_stash_material_tab|Gain an additional Stash tab where you can store items that are either Collectible or Material sub type.||Ganhe uma aba adicional de Baú onde você pode armazenar itens dos subtipos Colecionável ou Material.|Получите дополнительную вкладку сундука, где вы можете хранить предметы коллекционного или материального типа.|新增一個倉庫標籤頁，可用於存放收藏品或材料類物品。|収集品または素材タイプのアイテムを保管できる専用保管庫タブが追加されます。|수집품 또는 재료 유형의 아이템을 보관할 수 있는 보관함 탭이 추가됩니다.|Erhalte einen zusätzlichen Lager-Reiter, in dem du Gegenstände der Untertypen „Sammelbar“ oder „Material“ lagern kannst.|Gagnez un onglet « Stock » supplémentaire pour y stocker les objets de type Collection ou Matériaux.|Obtén una pestaña de Alijo adicional donde puedes guardar objetos de tipo Coleccionable o Material.|Zyskaj dodatkową zakładkę Skrytki, w której możesz przechowywać przedmioty o podtypie Kolekcjonerskim lub Materiałowym.
shop_desc_stash_socketable_tab|Gain an additional Stash tab where you can store items that are Socketable sub type such as runes, gems and jewels.||Ganhe uma aba adicional de Baú onde você pode armazenar itens do subtipo Encaixável, como runas, gemas e joias.|Получите дополнительную вкладку сундука, где вы можете хранить предметы с возможностью вставки камней, такие как руны, самоцветы и драгоценные камни.|新增一個倉庫標籤頁，可用於存放可鑲嵌類物品，例如符文、寶石和珠寶。|ルーン、宝石、ジュエルなどのソケット可能なアイテムを保管できる専用保管庫タブが追加されます。|룬, 보석, 장신구 등 소켓 장착형 아이템을 보관할 수 있는 보관함 탭이 추가됩니다.|Erhalte einen zusätzlichen Lager-Reiter, in dem du Gegenstände des Untertyps „Sockelbar“ wie Runen, Edelsteine ​​und Juwelen lagern kannst.|Gagnez un onglet « Stock » supplémentaire pour y stocker les objets de type Sertissage, tels que les runes, les gemmes et les joyaux.|Obtén una pestaña de Alijo adicional donde puedes guardar objetos de tipo Engarzable, como runas, gemas y joyas.|Zyskaj dodatkową zakładkę Skrytki, w której możesz przechowywać przedmioty o podtypie Slotable, takie jak runy, klejnoty i klejnoty.
shop_desc_skill_loadout|Gain an additional loadout for your skill tree, you can change between loadouts by pressing the loadout button or bind it to your gamepad or keyboard!||Obtenha um conjunto de habilidades adicional para sua árvore de habilidades. Você pode alternar entre os conjuntos pressionando o botão de conjunto ou atribuindo-o ao seu controle ou teclado!|Получите дополнительный набор снаряжения для своего дерева навыков. Вы можете переключаться между наборами, нажимая кнопку выбора снаряжения, или назначить её на геймпад или клавиатуру!|獲得技能樹的額外配置，您可以按下配置按鈕切換配置，或將其綁定到遊戲手把或鍵盤！|スキルツリーに新たなロードアウトを追加できます。ロードアウトボタンで切り替えるか、ゲームパッドやキーボードに割り当てて使用できます。|스킬 트리에 추가 장비 세트를 획득하세요. 장비 세트 버튼을 누르거나 게임패드 또는 키보드에 할당하여 간편하게 전환할 수 있습니다!|Erhalte eine zusätzliche Ausrüstung für deinen Fertigkeitenbaum. Du kannst zwischen den Ausrüstungen wechseln, indem du die Ausrüstungstaste drückst oder sie deinem Gamepad oder deiner Tastatur zuweist!|Obtenez une configuration supplémentaire pour votre arbre de compétences. Changez de configuration en appuyant sur le bouton dédié ou assignez-le à votre manette ou clavier !|Obtén una configuración adicional para tu árbol de habilidades. Puedes cambiar entre configuraciones pulsando el botón de configuración o asignándola a tu mando o teclado.|Zdobądź dodatkowy ekwipunek do swojego drzewka umiejętności. Możesz przełączać się między ekwipunkami, naciskając przycisk ekwipunku lub przypisując go do gamepada lub klawiatury!
shop_desc_blood_pact_10|Create a Blood Pact (private league) for 15 days supporting up to 10 players. You can modify many parameters in the game by increasing or decreasing them, such as pack size and drop rates etc.||Crie um Pacto de Sangue (liga privada) por 15 dias com suporte para até 10 jogadores. Você pode modificar diversos parâmetros do jogo, aumentando ou diminuindo-os, como o tamanho dos grupos de inimigos e as taxas de drop, etc.|Создайте Кровавый пакт (частную лигу) на 15 дней, поддерживающую до 10 игроков. Вы можете изменять многие параметры игры, увеличивая или уменьшая их, такие как размер паков и вероятность выпадения предметов и т. д.|創建為期 15 天的血契（私人聯賽），最多支援 10 名玩家。您可以透過增加或減少遊戲內的許多參數來調整遊戲，例如怪物群大小和掉落率等。|最大10人まで参加可能な15日間のブラッドパクト（プライベートリーグ）を作成できます。パックサイズやドロップ率など、ゲーム内の様々なパラメータを増減して変更できます。|최대 10명까지 참여 가능한 15일간의 비공개 리그인 블러드 팩트를 생성하세요. 몬스터 무리 크기, 드롭률 등 게임 내 다양한 ​​매개변수를 조정하여 변경할 수 있습니다.|Erstelle einen Blutpakt (private Liga) für 15 Tage mit bis zu 10 Spielern. Du kannst viele Spielparameter anpassen, z. B. die Gruppengröße und die Drop-Rate.|Créez un Pacte de Sang (ligue privée) de 15 jours pouvant accueillir jusqu’à 10 joueurs. Modifiez de nombreux paramètres en jeu, comme la taille des groupes d’ennemis et le taux de butin.|Crea un Pacto de Sangre (liga privada) durante 15 días con capacidad para hasta 10 jugadores. Puedes modificar muchos parámetros del juego, como el tamaño de los grupos y las probabilidades de obtención de objetos, aumentándolos o disminuyéndolos.|Stwórz Krwawy Pakt (prywatną ligę) na 15 dni, obsługującą do 10 graczy. Możesz modyfikować wiele parametrów w grze, zwiększając je lub zmniejszając, takie jak rozmiar pakietu i częstotliwość wypadania przedmiotów itp.
shop_desc_blood_pact_20|Create a Blood Pact (private league) for 15 days supporting up to 20 players. You can modify many parameters in the game by increasing or decreasing them, such as pack size and drop rates etc.||Crie um Pacto de Sangue (liga privada) por 15 dias com suporte para até 20 jogadores. Você pode modificar diversos parâmetros do jogo, aumentando ou diminuindo-os, como o tamanho dos grupos de inimigos e as taxas de drop, etc.|Создайте Кровавый пакт (частную лигу) на 15 дней, поддерживающую до 20 игроков. Вы можете изменять многие параметры игры, увеличивая или уменьшая их, такие как размер паков и вероятность выпадения предметов и т. д.|創建為期 15 天的血契（私人聯賽），最多支援 20 名玩家。您可以透過增加或減少遊戲內的許多參數來調整遊戲，例如怪物群大小和掉落率等。|最大20人まで参加可能な15日間のブラッドパクト（プライベートリーグ）を作成できます。パックサイズやドロップ率など、ゲーム内の様々なパラメータを増減して変更できます。|최대 20명까지 참여 가능한 15일간의 비공개 리그인 블러드 팩트를 생성하세요. 몬스터 무리 크기, 드롭률 등 게임 내 다양한 ​​매개변수를 조정하여 변경할 수 있습니다.|Erstelle einen Blutpakt (private Liga) für 15 Tage mit bis zu 20 Spielern. Du kannst viele Spielparameter anpassen, z. B. die Gruppengröße und die Drop-Rate.|Créez un Pacte de Sang (ligue privée) de 15 jours pouvant accueillir jusqu’à 20 joueurs. Modifiez de nombreux paramètres en jeu, comme la taille des groupes d’ennemis et le taux de butin.|Crea un Pacto de Sangre (liga privada) durante 15 días con capacidad para hasta 20 jugadores. Puedes modificar muchos parámetros del juego, como el tamaño de los grupos y las probabilidades de obtención de objetos, aumentándolos o disminuyéndolos.|Stwórz Krwawy Pakt (prywatną ligę) na 15 dni, obsługującą do 20 graczy. Możesz modyfikować wiele parametrów w grze, zwiększając je lub zmniejszając, takie jak rozmiar pakietu i częstotliwość wypadania przedmiotów itp.
shop_desc_blood_pact_30|Create a Blood Pact (private league) for 15 days supporting up to 30 players. You can modify many parameters in the game by increasing or decreasing them, such as pack size and drop rates etc.||Crie um Pacto de Sangue (liga privada) por 15 dias com suporte para até 30 jogadores. Você pode modificar diversos parâmetros do jogo, aumentando ou diminuindo-os, como o tamanho dos grupos de inimigos e as taxas de drop, etc.|Создайте Кровавый пакт (частную лигу) на 15 дней, поддерживающую до 30 игроков. Вы можете изменять многие параметры игры, увеличивая или уменьшая их, такие как размер паков и вероятность выпадения предметов и т. д.|創建為期 15 天的血契（私人聯賽），最多支援 30 名玩家。您可以透過增加或減少遊戲內的許多參數來調整遊戲，例如怪物群大小和掉落率等。|最大30人まで参加可能な15日間のブラッドパクト（プライベートリーグ）を作成できます。パックサイズやドロップ率など、ゲーム内の様々なパラメータを増減して変更できます。|최대 30명까지 참여 가능한 15일간의 비공개 리그인 블러드 팩트를 생성하세요. 몬스터 무리 크기, 드롭률 등 게임 내 다양한 ​​매개변수를 조정하여 변경할 수 있습니다.|Erstelle einen Blutpakt (private Liga) für 15 Tage mit bis zu 30 Spielern. Du kannst viele Spielparameter anpassen, z. B. die Gruppengröße und die Drop-Rate.|Créez un Pacte de Sang (ligue privée) de 15 jours pouvant accueillir jusqu’à 30 joueurs. Modifiez de nombreux paramètres en jeu, comme la taille des groupes d’ennemis et le taux de butin.|Crea un Pacto de Sangre (liga privada) durante 15 días con capacidad para hasta 30 jugadores. Puedes modificar muchos parámetros del juego, como el tamaño de los grupos y las probabilidades de obtención de objetos, aumentándolos o disminuyéndolos.|Stwórz Krwawy Pakt (prywatną ligę) na 15 dni, obsługującą do 30 graczy. Możesz modyfikować wiele parametrów w grze, zwiększając je lub zmniejszając, takie jak rozmiar pakietu i częstotliwość wypadania przedmiotów itp.
shop_desc_blood_pact_50|Create a Blood Pact (private league) for 15 days supporting up to 50 players. You can modify many parameters in the game by increasing or decreasing them, such as pack size and drop rates etc.||Crie um Pacto de Sangue (liga privada) por 15 dias com suporte para até 50 jogadores. Você pode modificar diversos parâmetros do jogo, aumentando ou diminuindo-os, como o tamanho dos grupos de inimigos e as taxas de drop, etc.|Создайте Кровавый пакт (частную лигу) на 15 дней, поддерживающую до 50 игроков. В игре можно изменять множество параметров, увеличивая или уменьшая их, например, размер паков и вероятность выпадения предметов и т.д.|創建為期 15 天的血契（私人聯賽），最多支援 50 名玩家。您可以透過增加或減少遊戲內的許多參數來調整遊戲，例如怪物群大小和掉落率等。|最大50人まで参加可能な15日間のブラッドパクト（プライベートリーグ）を作成できます。ゲーム内の様々なパラメータ（パックサイズやドロップ率など）を増減することで変更できます。|최대 50명까지 참여 가능한 15일간의 비공개 리그인 블러드 팩트를 생성하세요. 게임 내에서 몬스터 무리 크기, 드롭률 등 다양한 매개변수를 늘리거나 줄여서 수정할 수 있습니다.|Erstelle einen Blutpakt (private Liga) für 15 Tage mit bis zu 50 Spielern. Du kannst viele Spielparameter anpassen, indem du sie erhöhst oder verringerst, z. B. die Packungsgröße und die Drop-Rate.|Créez un Pacte de Sang (ligue privée) de 15 jours pouvant accueillir jusqu’à 50 joueurs. Vous pouvez modifier de nombreux paramètres du jeu en les augmentant ou en les diminuant, comme la taille des groupes d'ennemis et les taux d'apparition des objets.|Crea un Pacto de Sangre (liga privada) durante 15 días con capacidad para hasta 50 jugadores. Puedes modificar muchos parámetros del juego, aumentándolos o disminuyéndolos, como el tamaño de los paquetes y las probabilidades de obtención de objetos, etc.|Stwórz Krwawy Pakt (prywatną ligę) na 15 dni, obsługującą do 50 graczy. Możesz modyfikować wiele parametrów w grze, zwiększając lub zmniejszając je, takie jak rozmiar paczki, częstotliwość wypadania itp.
